Purchase{id_porzadkowe_zakupu=25, person=Person{imie='Wallace', nazwisko='Oury', email='wouryo@woothemes.com', ip='90.88.188.67'}, car=Car{color='#66184f', vin='4T1BD1EB7FU026332', company='Acura', model='RDX', model_year='2008', price=64467.57}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-11-30T00:00}
Purchase{id_porzadkowe_zakupu=54, person=Person{imie='Grant', nazwisko='Syrett', email='gsyrett1h@prlog.org', ip='119.89.29.184'}, car=Car{color='#8c163c', vin='WBADX1C5XCE850586', company='Acura', model='RL', model_year='2009', price=87273.74}, localization=Localization{country='Poland', city='Czerniewice'}, dateTime=2020-12-16T00:00}
Purchase{id_porzadkowe_zakupu=247, person=Person{imie='Caresse', nazwisko='Bussens', email='cbussens6u@dion.ne.jp', ip='219.63.220.114'}, car=Car{color='#095ecf', vin='YV1940AS0B1810215', company='Acura', model='TL', model_year='2009', price=36695.79}, localization=Localization{country='Czech Republic', city='Všenory'}, dateTime=2020-02-26T00:00}
Purchase{id_porzadkowe_zakupu=424, person=Person{imie='Sunny', nazwisko='Wherry', email='swherrybr@apache.org', ip='65.86.131.188'}, car=Car{color='#f4309a', vin='1N6AF0LX4FN314352', company='Acura', model='NSX', model_year='1997', price=82460.18}, localization=Localization{country='Poland', city='Stoczek Łukowski'}, dateTime=2020-08-11T00:00}
Purchase{id_porzadkowe_zakupu=450, person=Person{imie='Eldin', nazwisko='Esparza', email='eesparzach@cdc.gov', ip='203.168.41.225'}, car=Car{color='#8054b1', vin='JH4KA96652C469297', company='Acura', model='TL', model_year='2006', price=40421.13}, localization=Localization{country='Czech Republic', city='Jeseník'}, dateTime=2020-11-25T00:00}
Purchase{id_porzadkowe_zakupu=476, person=Person{imie='Marlin', nazwisko='Pulford', email='mpulfordd7@google.es', ip='134.148.216.100'}, car=Car{color='#515fe2', vin='1D7RB1GKXAS094771', company='Acura', model='TL', model_year='2005', price=97537.19}, localization=Localization{country='Poland', city='Izbicko'}, dateTime=2020-01-06T00:00}
Purchase{id_porzadkowe_zakupu=490, person=Person{imie='Udale', nazwisko='Antyukhin', email='uantyukhindl@t.co', ip='145.62.60.95'}, car=Car{color='#62a077', vin='1G6KS54Y64U621972', company='Acura', model='NSX', model_year='2002', price=41234.76}, localization=Localization{country='Czech Republic', city='Chlumčany'}, dateTime=2020-03-28T00:00}
Purchase{id_porzadkowe_zakupu=622, person=Person{imie='Olive', nazwisko='Idell', email='oidellh9@ihg.com', ip='10.117.140.204'}, car=Car{color='#62ca37', vin='KNAFU6A29C5266574', company='Acura', model='RL', model_year='2010', price=19924.03}, localization=Localization{country='Poland', city='Sadowie'}, dateTime=2020-11-10T00:00}
Purchase{id_porzadkowe_zakupu=759, person=Person{imie='Fina', nazwisko='Potebury', email='fpoteburyl2@eepurl.com', ip='24.163.163.111'}, car=Car{color='#48ac4f', vin='3GYFNAE37ES595203', company='Acura', model='Integra', model_year='1996', price=24435.25}, localization=Localization{country='Germany', city='Osnabrück'}, dateTime=2020-04-18T00:00}
Purchase{id_porzadkowe_zakupu=862, person=Person{imie='Neile', nazwisko='Dutson', email='ndutsonnx@miibeian.gov.cn', ip='177.91.129.60'}, car=Car{color='#193f69', vin='1G4HC5EMXAU370347', company='Acura', model='ZDX', model_year='2010', price=74967.68}, localization=Localization{country='Poland', city='Śniadowo'}, dateTime=2020-05-07T00:00}
Purchase{id_porzadkowe_zakupu=957, person=Person{imie='Xylina', nazwisko='Rawlings', email='xrawlingsqk@prweb.com', ip='242.229.116.229'}, car=Car{color='#f8c55b', vin='SCBBP93WX9C557182', company='Acura', model='CL', model_year='2003', price=82961.35}, localization=Localization{country='Germany', city='Bochum'}, dateTime=2020-04-24T00:00}
