Purchase{id_porzadkowe_zakupu=4, person=Person{imie='Bobinette', nazwisko='Silversmid', email='bsilversmid3@va.gov', ip='235.128.129.91'}, car=Car{color='#430bbb', vin='3C4PDDDG8ET165757', company='Audi', model='A6', model_year='2002', price=14233.71}, localization=Localization{country='Poland', city='Parchowo'}, dateTime=2020-02-04T00:00}
Purchase{id_porzadkowe_zakupu=110, person=Person{imie='Gwenny', nazwisko='Arnowitz', email='garnowitz31@comsenz.com', ip='94.93.89.128'}, car=Car{color='#71b30f', vin='4USBT53474L369108', company='Audi', model='A8', model_year='2000', price=68877.19}, localization=Localization{country='Poland', city='Rokitno'}, dateTime=2020-05-25T00:00}
Purchase{id_porzadkowe_zakupu=129, person=Person{imie='Bink', nazwisko='Duff', email='bduff3k@vkontakte.ru', ip='105.202.162.56'}, car=Car{color='#63bd24', vin='19VDE3F33EE165652', company='Audi', model='A3', model_year='2008', price=2217.07}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-07-25T00:00}
Purchase{id_porzadkowe_zakupu=152, person=Person{imie='Bink', nazwisko='Ballintime', email='bballintime47@hexun.com', ip='109.195.112.171'}, car=Car{color='#24f8ea', vin='3D7TT2CT2BG762448', company='Audi', model='A3', model_year='2008', price=59198.28}, localization=Localization{country='Czech Republic', city='Police nad Metují'}, dateTime=2020-12-05T00:00}
Purchase{id_porzadkowe_zakupu=166, person=Person{imie='Moina', nazwisko='Fernando', email='mfernando4l@exblog.jp', ip='189.173.118.23'}, car=Car{color='#dd40f8', vin='YV1672MC1BJ123741', company='Audi', model='Coupe GT', model_year='1987', price=19044.06}, localization=Localization{country='Czech Republic', city='Dobšice'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=192, person=Person{imie='Stavro', nazwisko='Alp', email='salp5b@wikipedia.org', ip='180.207.149.255'}, car=Car{color='#4fed1c', vin='WAURD68DX1A800710', company='Audi', model='A8', model_year='2002', price=14945.66}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-10-19T00:00}
Purchase{id_porzadkowe_zakupu=386, person=Person{imie='Sonnnie', nazwisko='Deschelle', email='sdeschelleap@barnesandnoble.com', ip='178.219.85.28'}, car=Car{color='#35f448', vin='1G6DE5EG8A0896249', company='Audi', model='A8', model_year='2008', price=4086.85}, localization=Localization{country='Czech Republic', city='Ledenice'}, dateTime=2020-09-10T00:00}
Purchase{id_porzadkowe_zakupu=406, person=Person{imie='Chevy', nazwisko='Hoffmann', email='choffmannb9@prlog.org', ip='80.183.204.164'}, car=Car{color='#9e7cfa', vin='JN1CV6AP3FM036248', company='Audi', model='Q7', model_year='2010', price=4808.26}, localization=Localization{country='Poland', city='Uniejów'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=433, person=Person{imie='Daune', nazwisko='Cabera', email='dcaberac0@mozilla.com', ip='116.216.207.221'}, car=Car{color='#1ae811', vin='3D7TP2CT0AG441088', company='Audi', model='S4', model_year='2013', price=92793.05}, localization=Localization{country='Poland', city='Sarnaki'}, dateTime=2020-05-03T00:00}
Purchase{id_porzadkowe_zakupu=448, person=Person{imie='Karin', nazwisko='Frankiss', email='kfrankisscf@amazon.de', ip='80.122.120.34'}, car=Car{color='#59cac7', vin='WBA3A5C5XFF165636', company='Audi', model='A3', model_year='2012', price=3754.6}, localization=Localization{country='Poland', city='Radom'}, dateTime=2020-11-01T00:00}
Purchase{id_porzadkowe_zakupu=449, person=Person{imie='Trev', nazwisko='Aldus', email='talduscg@joomla.org', ip='192.58.166.48'}, car=Car{color='#0ffe15', vin='WBAPM5C50BE047457', company='Audi', model='A3', model_year='2006', price=52107.28}, localization=Localization{country='Poland', city='Stoczek'}, dateTime=2020-12-29T00:00}
Purchase{id_porzadkowe_zakupu=456, person=Person{imie='Arvin', nazwisko='Giddins', email='agiddinscn@surveymonkey.com', ip='120.208.104.140'}, car=Car{color='#7f0e24', vin='WDDEJ7EBXDA815639', company='Audi', model='V8', model_year='1992', price=94151.66}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-09-20T00:00}
Purchase{id_porzadkowe_zakupu=485, person=Person{imie='Vinnie', nazwisko='Scafe', email='vscafedg@telegraph.co.uk', ip='61.247.182.230'}, car=Car{color='#2531aa', vin='1C3CDFBA5DD043407', company='Audi', model='S8', model_year='2002', price=17758.68}, localization=Localization{country='Poland', city='Sabnie'}, dateTime=2020-05-12T00:00}
Purchase{id_porzadkowe_zakupu=492, person=Person{imie='Amanda', nazwisko='Hearns', email='ahearnsdn@google.com', ip='42.36.168.247'}, car=Car{color='#8b14e6', vin='5GAKVAKD5EJ909516', company='Audi', model='A3', model_year='2010', price=63016.06}, localization=Localization{country='Czech Republic', city='Horní Čermná'}, dateTime=2020-06-25T00:00}
Purchase{id_porzadkowe_zakupu=502, person=Person{imie='Elsy', nazwisko='Nottle', email='enottledx@blogs.com', ip='116.162.235.90'}, car=Car{color='#b4bff1', vin='WBAET374X3N657500', company='Audi', model='A4', model_year='2001', price=57306.97}, localization=Localization{country='Poland', city='Łubniany'}, dateTime=2020-01-26T00:00}
Purchase{id_porzadkowe_zakupu=506, person=Person{imie='Alic', nazwisko='Drayson', email='adraysone1@alexa.com', ip='176.227.48.66'}, car=Car{color='#770c3e', vin='WAUUL98E96A945333', company='Audi', model='A4', model_year='2005', price=48332.49}, localization=Localization{country='Poland', city='Tuchomie'}, dateTime=2020-07-28T00:00}
Purchase{id_porzadkowe_zakupu=513, person=Person{imie='Krispin', nazwisko='Agiolfinger', email='kagiolfingere8@samsung.com', ip='102.153.227.205'}, car=Car{color='#0f1fb4', vin='JTDKN3DU9B0874200', company='Audi', model='A6', model_year='2005', price=11159.29}, localization=Localization{country='Poland', city='Wąsosz'}, dateTime=2020-07-10T00:00}
Purchase{id_porzadkowe_zakupu=519, person=Person{imie='Ricki', nazwisko='Kornyakov', email='rkornyakovee@123-reg.co.uk', ip='78.242.149.171'}, car=Car{color='#bb665a', vin='WAUNF98P36A395303', company='Audi', model='TT', model_year='2004', price=66745.47}, localization=Localization{country='Poland', city='Przywidz'}, dateTime=2020-03-17T00:00}
Purchase{id_porzadkowe_zakupu=524, person=Person{imie='Kathrine', nazwisko='Sewell', email='ksewellej@berkeley.edu', ip='148.11.93.147'}, car=Car{color='#21b279', vin='1G6DS5E35C0603934', company='Audi', model='S4', model_year='2002', price=99248.87}, localization=Localization{country='Poland', city='Gomunice'}, dateTime=2020-02-14T00:00}
Purchase{id_porzadkowe_zakupu=628, person=Person{imie='Goddart', nazwisko='Addeycott', email='gaddeycotthf@squidoo.com', ip='25.127.246.9'}, car=Car{color='#b4d7c6', vin='WP1AA2A2XCL587402', company='Audi', model='5000S', model_year='1987', price=62830.11}, localization=Localization{country='Czech Republic', city='Podolí'}, dateTime=2020-09-11T00:00}
Purchase{id_porzadkowe_zakupu=722, person=Person{imie='Fabian', nazwisko='Oxtoby', email='foxtobyk1@psu.edu', ip='135.138.148.20'}, car=Car{color='#af5902', vin='1GKS1CE07ER948290', company='Audi', model='A3', model_year='2006', price=2375.2}, localization=Localization{country='Czech Republic', city='Mnichovo Hradiště'}, dateTime=2020-04-26T00:00}
Purchase{id_porzadkowe_zakupu=821, person=Person{imie='Corbett', nazwisko='Rheubottom', email='crheubottomms@umich.edu', ip='229.39.202.159'}, car=Car{color='#f3b1fd', vin='1FTSW3B53AE198429', company='Audi', model='Quattro', model_year='1994', price=49492.18}, localization=Localization{country='Poland', city='Korczyna'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=923, person=Person{imie='Ilario', nazwisko='Trahmel', email='itrahmelpm@ifeng.com', ip='143.149.151.75'}, car=Car{color='#b11fc5', vin='3N1BC1AP1BL419856', company='Audi', model='S4', model_year='2000', price=31782.29}, localization=Localization{country='Poland', city='Dąbrowice'}, dateTime=2020-01-29T00:00}
Purchase{id_porzadkowe_zakupu=964, person=Person{imie='Robinette', nazwisko='Laurence', email='rlaurenceqr@vk.com', ip='28.99.95.223'}, car=Car{color='#6ab30d', vin='3D7LT2ET8BG756568', company='Audi', model='A8', model_year='2000', price=25751.5}, localization=Localization{country='Poland', city='Chruszczobród'}, dateTime=2020-03-30T00:00}
