Purchase{id_porzadkowe_zakupu=26, person=Person{imie='Vitia', nazwisko='Wressell', email='vwressellp@joomla.org', ip='83.75.76.69'}, car=Car{color='#fc52a8', vin='5N1AA0NE0EN847693', company='BMW', model='Z4', model_year='2010', price=30372.27}, localization=Localization{country='Czech Republic', city='Břeclav'}, dateTime=2020-01-07T00:00}
Purchase{id_porzadkowe_zakupu=53, person=Person{imie='Ronica', nazwisko='Kirtland', email='rkirtland1g@smh.com.au', ip='85.255.41.175'}, car=Car{color='#362699', vin='WA1WMAFE7DD223278', company='BMW', model='1 Series', model_year='2010', price=59998.39}, localization=Localization{country='Poland', city='Pilchowice'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=55, person=Person{imie='Carly', nazwisko='Vasnetsov', email='cvasnetsov1i@freewebs.com', ip='103.247.181.255'}, car=Car{color='#67ddc5', vin='WAUSF98E38A270340', company='BMW', model='5 Series', model_year='2000', price=64328.89}, localization=Localization{country='Germany', city='Hamburg Sankt Pauli'}, dateTime=2020-03-26T00:00}
Purchase{id_porzadkowe_zakupu=75, person=Person{imie='Harland', nazwisko='Cobello', email='hcobello22@ted.com', ip='240.61.35.39'}, car=Car{color='#acf056', vin='YV440MBK4F1358967', company='BMW', model='X5', model_year='2000', price=48845.79}, localization=Localization{country='Poland', city='Rokitno'}, dateTime=2020-03-09T00:00}
Purchase{id_porzadkowe_zakupu=79, person=Person{imie='Krystyna', nazwisko='Ricardet', email='kricardet26@t.co', ip='39.45.161.206'}, car=Car{color='#9ba311', vin='3D7LT2ET7AG992093', company='BMW', model='5 Series', model_year='1997', price=28961.6}, localization=Localization{country='Czech Republic', city='Chrást'}, dateTime=2020-05-06T00:00}
Purchase{id_porzadkowe_zakupu=86, person=Person{imie='Deane', nazwisko='Kmieciak', email='dkmieciak2d@purevolume.com', ip='84.176.85.159'}, car=Car{color='#f955cc', vin='WBAVB33576K499107', company='BMW', model='600', model_year='1957', price=72427.8}, localization=Localization{country='Poland', city='Szczerbice'}, dateTime=2020-01-19T00:00}
Purchase{id_porzadkowe_zakupu=97, person=Person{imie='Hi', nazwisko='Yeomans', email='hyeomans2o@themeforest.net', ip='37.150.104.58'}, car=Car{color='#9413c9', vin='2C3CA7CW5AH234588', company='BMW', model='8 Series', model_year='1992', price=36491.19}, localization=Localization{country='Czech Republic', city='Pyšely'}, dateTime=2020-12-05T00:00}
Purchase{id_porzadkowe_zakupu=99, person=Person{imie='Berny', nazwisko='Rumsby', email='brumsby2q@pen.io', ip='63.72.144.27'}, car=Car{color='#2eb791', vin='WAUNF78P58A259925', company='BMW', model='7 Series', model_year='1995', price=91829.08}, localization=Localization{country='Poland', city='Pruszcz'}, dateTime=2020-03-13T00:00}
Purchase{id_porzadkowe_zakupu=117, person=Person{imie='Trever', nazwisko='Coulbeck', email='tcoulbeck38@toplist.cz', ip='165.177.248.84'}, car=Car{color='#cc6e4c', vin='JTDBT4K3XC1339796', company='BMW', model='7 Series', model_year='2009', price=49082.37}, localization=Localization{country='Czech Republic', city='Holice'}, dateTime=2020-11-23T00:00}
Purchase{id_porzadkowe_zakupu=150, person=Person{imie='Glendon', nazwisko='Rennolds', email='grennolds45@spotify.com', ip='185.126.21.252'}, car=Car{color='#266be8', vin='WA1MKAFP7AA935589', company='BMW', model='M3', model_year='2012', price=42175.04}, localization=Localization{country='Germany', city='Neuss'}, dateTime=2020-01-08T00:00}
Purchase{id_porzadkowe_zakupu=161, person=Person{imie='Keely', nazwisko='Simes', email='ksimes4g@tamu.edu', ip='48.24.70.65'}, car=Car{color='#0f0ab0', vin='1C3BC6EV8AN404051', company='BMW', model='6 Series', model_year='1989', price=96220.95}, localization=Localization{country='Poland', city='Mrzeżyno'}, dateTime=2020-01-19T00:00}
