Purchase{id_porzadkowe_zakupu=68, person=Person{imie='Orsa', nazwisko='Wilfling', email='owilfling1v@diigo.com', ip='53.136.57.107'}, car=Car{color='#0a2fad', vin='1D4RD4GG5BC716516', company='Buick', model='LeSabre', model_year='1985', price=7542.19}, localization=Localization{country='Czech Republic', city='Orlová'}, dateTime=2020-05-15T00:00}
Purchase{id_porzadkowe_zakupu=91, person=Person{imie='Charissa', nazwisko='Berr', email='cberr2i@foxnews.com', ip='138.86.215.72'}, car=Car{color='#23aea8', vin='2G4WF551241593499', company='Buick', model='Regal', model_year='1986', price=82619.4}, localization=Localization{country='Czech Republic', city='Nýřany'}, dateTime=2020-12-11T00:00}
Purchase{id_porzadkowe_zakupu=138, person=Person{imie='Gerhardt', nazwisko='Yeardsley', email='gyeardsley3t@slideshare.net', ip='120.48.41.18'}, car=Car{color='#da4934', vin='WAUDT48H84K166588', company='Buick', model='Coachbuilder', model_year='1992', price=56616.47}, localization=Localization{country='Czech Republic', city='Bechyně'}, dateTime=2020-07-04T00:00}
Purchase{id_porzadkowe_zakupu=140, person=Person{imie='Daniele', nazwisko='Knapton', email='dknapton3v@diigo.com', ip='22.71.189.41'}, car=Car{color='#bb37ce', vin='1GYFK66858R431973', company='Buick', model='Coachbuilder', model_year='1990', price=98127.28}, localization=Localization{country='Germany', city='Essen'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=156, person=Person{imie='Corine', nazwisko='Donhardt', email='cdonhardt4b@skype.com', ip='86.232.98.59'}, car=Car{color='#14731e', vin='JH4DC53043C993859', company='Buick', model='Century', model_year='2004', price=22140.55}, localization=Localization{country='Poland', city='Milówka'}, dateTime=2020-06-25T00:00}
Purchase{id_porzadkowe_zakupu=208, person=Person{imie='Caleb', nazwisko='Galfour', email='cgalfour5r@sina.com.cn', ip='131.38.165.188'}, car=Car{color='#afeed2', vin='WAUVF98K09A488580', company='Buick', model='Skyhawk', model_year='1988', price=13632.45}, localization=Localization{country='Czech Republic', city='Měcholupy'}, dateTime=2020-04-19T00:00}
Purchase{id_porzadkowe_zakupu=260, person=Person{imie='Sasha', nazwisko='Suart', email='ssuart77@dailymotion.com', ip='206.84.76.242'}, car=Car{color='#87c7ec', vin='3C3CFFJHXET569181', company='Buick', model='Roadmaster', model_year='1996', price=59545.91}, localization=Localization{country='Poland', city='Stanisław Górny'}, dateTime=2020-07-06T00:00}
Purchase{id_porzadkowe_zakupu=261, person=Person{imie='Shantee', nazwisko='Borgnet', email='sborgnet78@noaa.gov', ip='251.239.251.181'}, car=Car{color='#3aac40', vin='4T3BK3BB6FU541674', company='Buick', model='Park Avenue', model_year='2003', price=62451.1}, localization=Localization{country='Poland', city='Kaczory'}, dateTime=2020-11-14T00:00}
Purchase{id_porzadkowe_zakupu=289, person=Person{imie='Marjy', nazwisko='Fullun', email='mfullun80@webnode.com', ip='155.97.202.23'}, car=Car{color='#f6fbdd', vin='5N1AR1NBXBC148017', company='Buick', model='Roadmaster', model_year='1993', price=42570.05}, localization=Localization{country='Poland', city='Zagórnik'}, dateTime=2020-07-31T00:00}
Purchase{id_porzadkowe_zakupu=335, person=Person{imie='Michaelina', nazwisko='Mollnar', email='mmollnar9a@lulu.com', ip='240.232.229.238'}, car=Car{color='#bd1932', vin='SCFHDDAJ9BA686334', company='Buick', model='Riviera', model_year='1979', price=46455.29}, localization=Localization{country='Czech Republic', city='Dolní Studénky'}, dateTime=2020-03-15T00:00}
Purchase{id_porzadkowe_zakupu=372, person=Person{imie='Janella', nazwisko='McLaughlin', email='jmclaughlinab@wikimedia.org', ip='201.30.12.64'}, car=Car{color='#61c2be', vin='JH4DC548X5S673698', company='Buick', model='LeSabre', model_year='1987', price=15930.6}, localization=Localization{country='Czech Republic', city='Dolní Rychnov'}, dateTime=2020-11-14T00:00}
Purchase{id_porzadkowe_zakupu=439, person=Person{imie='Catherine', nazwisko='Heyns', email='cheynsc6@virginia.edu', ip='176.62.217.117'}, car=Car{color='#9ffec6', vin='5UXZV8C51CL417188', company='Buick', model='Park Avenue', model_year='1999', price=19287.9}, localization=Localization{country='Poland', city='Chodzież'}, dateTime=2020-04-23T00:00}
Purchase{id_porzadkowe_zakupu=469, person=Person{imie='Austine', nazwisko='Goreway', email='agorewayd0@bing.com', ip='3.84.90.236'}, car=Car{color='#614925', vin='SALAB2V64FA125196', company='Buick', model='LaCrosse', model_year='2012', price=91641.43}, localization=Localization{country='Czech Republic', city='Vacenovice'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=503, person=Person{imie='Cecily', nazwisko='Muge', email='cmugedy@cbsnews.com', ip='146.221.209.213'}, car=Car{color='#b33cea', vin='3VW467AT6CM351642', company='Buick', model='Skylark', model_year='1985', price=96346.01}, localization=Localization{country='Poland', city='Ruda-Huta'}, dateTime=2020-05-06T00:00}
Purchase{id_porzadkowe_zakupu=521, person=Person{imie='Denna', nazwisko='Malkinson', email='dmalkinsoneg@odnoklassniki.ru', ip='84.65.184.157'}, car=Car{color='#188024', vin='SCBGR3ZA5DC630752', company='Buick', model='Rendezvous', model_year='2006', price=23783.83}, localization=Localization{country='Poland', city='Janowice'}, dateTime=2020-11-30T00:00}
Purchase{id_porzadkowe_zakupu=533, person=Person{imie='Mechelle', nazwisko='Fountian', email='mfountianes@smh.com.au', ip='2.24.248.83'}, car=Car{color='#bbf877', vin='JHMZF1C60ES737771', company='Buick', model='Riviera', model_year='1986', price=42903.43}, localization=Localization{country='Czech Republic', city='Horní Čermná'}, dateTime=2020-11-29T00:00}
Purchase{id_porzadkowe_zakupu=655, person=Person{imie='Leopold', nazwisko='Summerskill', email='lsummerskilli6@joomla.org', ip='253.163.146.186'}, car=Car{color='#2ae4e4', vin='3N6CM0KN0EK435379', company='Buick', model='LaCrosse', model_year='2010', price=52594.08}, localization=Localization{country='Czech Republic', city='Nezamyslice'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=690, person=Person{imie='Powell', nazwisko='Sket', email='psketj5@friendfeed.com', ip='244.5.236.175'}, car=Car{color='#e539d9', vin='JTHBE5C27D5037364', company='Buick', model='Rendezvous', model_year='2005', price=98175.12}, localization=Localization{country='Poland', city='Stanowice'}, dateTime=2020-01-04T00:00}
Purchase{id_porzadkowe_zakupu=715, person=Person{imie='Grissel', nazwisko='Prebble', email='gprebbleju@networkadvertising.org', ip='150.55.116.199'}, car=Car{color='#5f08db', vin='1G6DC67A480661314', company='Buick', model='Rainier', model_year='2004', price=80773.22}, localization=Localization{country='Poland', city='Wilkołaz'}, dateTime=2020-12-02T00:00}
Purchase{id_porzadkowe_zakupu=731, person=Person{imie='Berkie', nazwisko='Milam', email='bmilamka@cloudflare.com', ip='138.169.71.151'}, car=Car{color='#88987b', vin='SALAC2D43CA044201', company='Buick', model='Century', model_year='2000', price=8718.64}, localization=Localization{country='Poland', city='Włoszczowa'}, dateTime=2020-07-22T00:00}
Purchase{id_porzadkowe_zakupu=745, person=Person{imie='Thia', nazwisko='Glenny', email='tglennyko@printfriendly.com', ip='33.206.18.2'}, car=Car{color='#5631a3', vin='1N4AB7AP2EN430700', company='Buick', model='Estate', model_year='1989', price=81302.51}, localization=Localization{country='Czech Republic', city='Stará Huť'}, dateTime=2020-03-27T00:00}
Purchase{id_porzadkowe_zakupu=763, person=Person{imie='Roshelle', nazwisko='Leber', email='rleberl6@histats.com', ip='12.69.173.234'}, car=Car{color='#e6fa6c', vin='WDDHF2EB7BA330597', company='Buick', model='Regal', model_year='2001', price=54411.09}, localization=Localization{country='Germany', city='München'}, dateTime=2020-02-14T00:00}
Purchase{id_porzadkowe_zakupu=773, person=Person{imie='Loreen', nazwisko='Reeds', email='lreedslg@weather.com', ip='55.90.84.7'}, car=Car{color='#0b8a97', vin='1FT7W2A69EE627072', company='Buick', model='Park Avenue', model_year='2003', price=60691.83}, localization=Localization{country='Poland', city='Bogoria'}, dateTime=2020-05-04T00:00}
Purchase{id_porzadkowe_zakupu=831, person=Person{imie='Dunn', nazwisko='Towl', email='dtowln2@about.com', ip='189.95.123.192'}, car=Car{color='#7469ed', vin='WA1DKAFP3CA540246', company='Buick', model='Roadmaster', model_year='1993', price=51829.87}, localization=Localization{country='Czech Republic', city='Šumperk'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=874, person=Person{imie='Sile', nazwisko='Takkos', email='stakkoso9@scientificamerican.com', ip='9.238.116.134'}, car=Car{color='#b51f1c', vin='4T1BF3EK3BU925561', company='Buick', model='Lucerne', model_year='2006', price=2848.09}, localization=Localization{country='Poland', city='Piasek'}, dateTime=2020-08-21T00:00}
