Purchase{id_porzadkowe_zakupu=12, person=Person{imie='Brannon', nazwisko='Dexter', email='bdexterb@mozilla.com', ip='242.111.242.135'}, car=Car{color='#1906e0', vin='1G6DS57VX90897709', company='Cadillac', model='Escalade ESV', model_year='2007', price=28270.94}, localization=Localization{country='Poland', city='Rozwadza'}, dateTime=2020-01-12T00:00}
Purchase{id_porzadkowe_zakupu=60, person=Person{imie='Ryan', nazwisko='Drane', email='rdrane1n@ucla.edu', ip='113.128.203.179'}, car=Car{color='#6354b6', vin='WBA5M6C5XED138968', company='Cadillac', model='CTS', model_year='2011', price=25636.62}, localization=Localization{country='Poland', city='Szydłowo'}, dateTime=2020-05-26T00:00}
Purchase{id_porzadkowe_zakupu=70, person=Person{imie='Linn', nazwisko='Louche', email='llouche1x@harvard.edu', ip='241.31.139.134'}, car=Car{color='#b56ebc', vin='1B3CB2HA2AD242557', company='Cadillac', model='CTS-V', model_year='2009', price=33447.26}, localization=Localization{country='Poland', city='Miejska Górka'}, dateTime=2020-02-22T00:00}
Purchase{id_porzadkowe_zakupu=90, person=Person{imie='Anita', nazwisko='Gibbin', email='agibbin2h@lulu.com', ip='55.240.206.240'}, car=Car{color='#4e4639', vin='3MZBM1L72EM306808', company='Cadillac', model='CTS', model_year='2004', price=84373.48}, localization=Localization{country='Poland', city='Łopuszna'}, dateTime=2020-06-01T00:00}
Purchase{id_porzadkowe_zakupu=182, person=Person{imie='Selia', nazwisko='Delf', email='sdelf51@wordpress.org', ip='239.231.27.205'}, car=Car{color='#926eff', vin='WAUGU44D43N075201', company='Cadillac', model='Eldorado', model_year='1995', price=52003.13}, localization=Localization{country='Poland', city='Wilków'}, dateTime=2020-02-04T00:00}
Purchase{id_porzadkowe_zakupu=204, person=Person{imie='Kassey', nazwisko='Jehu', email='kjehu5n@squarespace.com', ip='19.45.135.14'}, car=Car{color='#148cb1', vin='WVGBF7A97AD498149', company='Cadillac', model='CTS-V', model_year='2007', price=30692.81}, localization=Localization{country='Poland', city='Praga Północ'}, dateTime=2020-02-18T00:00}
Purchase{id_porzadkowe_zakupu=230, person=Person{imie='Isidoro', nazwisko='Stockney', email='istockney6d@baidu.com', ip='71.77.214.117'}, car=Car{color='#1f2a96', vin='3D73Y4HL5AG181322', company='Cadillac', model='Escalade EXT', model_year='2004', price=81035.43}, localization=Localization{country='Poland', city='Małkinia Górna'}, dateTime=2020-02-21T00:00}
Purchase{id_porzadkowe_zakupu=296, person=Person{imie='Drugi', nazwisko='Scurrey', email='dscurrey87@opera.com', ip='138.46.92.46'}, car=Car{color='#f30ea4', vin='1GD01XEG5FZ282339', company='Cadillac', model='SRX', model_year='2009', price=28145.95}, localization=Localization{country='Poland', city='Jonkowo'}, dateTime=2020-01-19T00:00}
Purchase{id_porzadkowe_zakupu=332, person=Person{imie='Chrysler', nazwisko='Winchcombe', email='cwinchcombe97@jigsy.com', ip='157.252.199.163'}, car=Car{color='#2eb982', vin='WA1WMBFE9DD812581', company='Cadillac', model='Escalade', model_year='2008', price=17720.7}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-03-31T00:00}
Purchase{id_porzadkowe_zakupu=453, person=Person{imie='Erastus', nazwisko='Charpin', email='echarpinck@cisco.com', ip='19.226.186.181'}, car=Car{color='#5eb88a', vin='1G6KD57Y06U694523', company='Cadillac', model='Escalade EXT', model_year='2003', price=97983.31}, localization=Localization{country='Germany', city='Köln'}, dateTime=2020-01-25T00:00}
Purchase{id_porzadkowe_zakupu=573, person=Person{imie='Charin', nazwisko='Gotch', email='cgotchfw@topsy.com', ip='31.126.90.122'}, car=Car{color='#ac04c6', vin='WVWED7AJ9DW454308', company='Cadillac', model='Escalade', model_year='2006', price=59530.4}, localization=Localization{country='Czech Republic', city='Hostomice'}, dateTime=2020-12-08T00:00}
Purchase{id_porzadkowe_zakupu=575, person=Person{imie='Derek', nazwisko='Fell', email='dfellfy@odnoklassniki.ru', ip='68.239.166.160'}, car=Car{color='#284e74', vin='WAUAF78E57A216018', company='Cadillac', model='Escalade EXT', model_year='2012', price=4916.34}, localization=Localization{country='Czech Republic', city='Vřesina'}, dateTime=2020-06-03T00:00}
Purchase{id_porzadkowe_zakupu=614, person=Person{imie='Ferdinand', nazwisko='Wethered', email='fwetheredh1@php.net', ip='108.5.13.188'}, car=Car{color='#08ea45', vin='WBADT53492C781846', company='Cadillac', model='DeVille', model_year='1993', price=3635.44}, localization=Localization{country='Czech Republic', city='Řehlovice'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=664, person=Person{imie='Richmond', nazwisko='Gartin', email='rgartinif@smh.com.au', ip='150.231.78.143'}, car=Car{color='#aa7c7a', vin='1G6EL12Y71B193231', company='Cadillac', model='DeVille', model_year='2003', price=69314.01}, localization=Localization{country='Poland', city='Połajewo'}, dateTime=2020-09-01T00:00}
Purchase{id_porzadkowe_zakupu=685, person=Person{imie='Wayne', nazwisko='Ainslee', email='wainsleej0@tamu.edu', ip='245.73.253.149'}, car=Car{color='#993abd', vin='W04GU5GC6B1388214', company='Cadillac', model='Seville', model_year='2000', price=10923.46}, localization=Localization{country='Poland', city='Licheń Stary'}, dateTime=2020-03-18T00:00}
Purchase{id_porzadkowe_zakupu=700, person=Person{imie='Hendrika', nazwisko='Henzer', email='hhenzerjf@earthlink.net', ip='66.26.160.212'}, car=Car{color='#bab7bb', vin='1C4SDJCT5FC458360', company='Cadillac', model='SRX', model_year='2009', price=56724.53}, localization=Localization{country='Poland', city='Siemianowice Śląskie'}, dateTime=2020-10-08T00:00}
