Purchase{id_porzadkowe_zakupu=1, person=Person{imie='Marsh', nazwisko='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, localization=Localization{country='Czech Republic', city='Bořetice'}, dateTime=2020-09-03T00:00}
Purchase{id_porzadkowe_zakupu=6, person=Person{imie='Bobbi', nazwisko='Sulland', email='bsulland5@barnesandnoble.com', ip='94.203.49.152'}, car=Car{color='#3c1515', vin='SALAB2D42BA929152', company='Chevrolet', model='Silverado 2500', model_year='2010', price=35588.74}, localization=Localization{country='Poland', city='Bielawa'}, dateTime=2020-03-27T00:00}
Purchase{id_porzadkowe_zakupu=10, person=Person{imie='Lynna', nazwisko='Jossel', email='ljossel9@archive.org', ip='68.72.88.141'}, car=Car{color='#0c6d6a', vin='1N6AA0CH9DN190180', company='Chevrolet', model='Malibu', model_year='2001', price=80118.18}, localization=Localization{country='Czech Republic', city='Hvozdná'}, dateTime=2020-07-14T00:00}
Purchase{id_porzadkowe_zakupu=14, person=Person{imie='Giulio', nazwisko='Ing', email='gingd@baidu.com', ip='107.44.207.136'}, car=Car{color='#db7c98', vin='WA1AGBFE4CD164891', company='Chevrolet', model='Suburban 2500', model_year='2003', price=88935.98}, localization=Localization{country='Poland', city='Żarki-Letnisko'}, dateTime=2020-03-27T00:00}
Purchase{id_porzadkowe_zakupu=15, person=Person{imie='Lela', nazwisko='Masson', email='lmassone@lycos.com', ip='62.176.227.100'}, car=Car{color='#805251', vin='5N1AT2ML7FC391968', company='Chevrolet', model='Express 1500', model_year='2007', price=19212.71}, localization=Localization{country='Poland', city='Wysoka'}, dateTime=2020-05-09T00:00}
Purchase{id_porzadkowe_zakupu=21, person=Person{imie='Angy', nazwisko='Lorrie', email='alorriek@hc360.com', ip='185.136.110.75'}, car=Car{color='#3af52c', vin='3FAHP0DCXAR054903', company='Chevrolet', model='Equinox', model_year='2006', price=52849.21}, localization=Localization{country='Poland', city='Damnica'}, dateTime=2020-01-22T00:00}
Purchase{id_porzadkowe_zakupu=24, person=Person{imie='Rowney', nazwisko='Selwyn', email='rselwynn@arizona.edu', ip='209.20.40.139'}, car=Car{color='#eb78a0', vin='TRUDD38J281626648', company='Chevrolet', model='Malibu', model_year='2002', price=9224.59}, localization=Localization{country='Poland', city='Wólka Pełkińska'}, dateTime=2020-11-01T00:00}
Purchase{id_porzadkowe_zakupu=28, person=Person{imie='Adi', nazwisko='Huggon', email='ahuggonr@dion.ne.jp', ip='127.124.60.202'}, car=Car{color='#81bbba', vin='2T2BK1BA9EC555360', company='Chevrolet', model='G-Series G10', model_year='1995', price=73435.81}, localization=Localization{country='Poland', city='Ryczów'}, dateTime=2020-11-20T00:00}
Purchase{id_porzadkowe_zakupu=43, person=Person{imie='Juana', nazwisko='Longlands', email='jlonglands16@istockphoto.com', ip='250.100.0.186'}, car=Car{color='#5a4ec0', vin='2C3CCABG9EH016824', company='Chevrolet', model='Express 2500', model_year='1996', price=37242.6}, localization=Localization{country='Czech Republic', city='Žulová'}, dateTime=2020-01-15T00:00}
Purchase{id_porzadkowe_zakupu=51, person=Person{imie='Nessi', nazwisko='Tripony', email='ntripony1e@yellowbook.com', ip='214.74.7.152'}, car=Car{color='#53c426', vin='1YVHZ8BA6A5767573', company='Chevrolet', model='Impala', model_year='2012', price=80557.94}, localization=Localization{country='Poland', city='Lubomierz'}, dateTime=2020-12-30T00:00}
Purchase{id_porzadkowe_zakupu=130, person=Person{imie='Chrissy', nazwisko='Reppaport', email='creppaport3l@eventbrite.com', ip='248.190.235.230'}, car=Car{color='#b7cc8d', vin='5UXFG2C53BL477935', company='Chevrolet', model='Tahoe', model_year='2011', price=48509.46}, localization=Localization{country='Poland', city='Babiak'}, dateTime=2020-07-28T00:00}
Purchase{id_porzadkowe_zakupu=136, person=Person{imie='Seamus', nazwisko='Biggs', email='sbiggs3r@mashable.com', ip='58.40.39.44'}, car=Car{color='#58468d', vin='1G6AB5RX5E0918865', company='Chevrolet', model='Sportvan G20', model_year='1994', price=46420.2}, localization=Localization{country='Czech Republic', city='Horní Jiřetín'}, dateTime=2020-11-21T00:00}
Purchase{id_porzadkowe_zakupu=143, person=Person{imie='Amelia', nazwisko='Dyte', email='adyte3y@wikipedia.org', ip='204.250.32.207'}, car=Car{color='#787778', vin='WBAGN83594D174618', company='Chevrolet', model='Cobalt SS', model_year='2009', price=68941.55}, localization=Localization{country='Czech Republic', city='Horní Bečva'}, dateTime=2020-09-19T00:00}
Purchase{id_porzadkowe_zakupu=148, person=Person{imie='Kippy', nazwisko='Baison', email='kbaison43@theguardian.com', ip='152.164.125.93'}, car=Car{color='#07cdbf', vin='WAUDGAFL8DA387642', company='Chevrolet', model='TrailBlazer', model_year='2006', price=25082.65}, localization=Localization{country='Poland', city='Lachowice'}, dateTime=2020-10-04T00:00}
Purchase{id_porzadkowe_zakupu=167, person=Person{imie='Carling', nazwisko='Laxon', email='claxon4m@yolasite.com', ip='101.10.168.108'}, car=Car{color='#89030e', vin='3D7TP2CTXBG248870', company='Chevrolet', model='Silverado 2500', model_year='2012', price=71122.19}, localization=Localization{country='Poland', city='Bolszewo'}, dateTime=2020-10-23T00:00}
Purchase{id_porzadkowe_zakupu=168, person=Person{imie='Noni', nazwisko='Gilfillan', email='ngilfillan4n@wikipedia.org', ip='186.166.113.117'}, car=Car{color='#54040b', vin='1GYS3JEF0ER386466', company='Chevrolet', model='3500', model_year='1996', price=80037.02}, localization=Localization{country='Poland', city='Pułtusk'}, dateTime=2020-03-05T00:00}
Purchase{id_porzadkowe_zakupu=169, person=Person{imie='Phillip', nazwisko='Rahill', email='prahill4o@boston.com', ip='76.123.91.72'}, car=Car{color='#2b2e8e', vin='SCBGT3ZAXFC959466', company='Chevrolet', model='Metro', model_year='1998', price=83510.21}, localization=Localization{country='Czech Republic', city='Radiměř'}, dateTime=2020-04-28T00:00}
Purchase{id_porzadkowe_zakupu=173, person=Person{imie='Jerrold', nazwisko='Charlwood', email='jcharlwood4s@imageshack.us', ip='223.31.133.65'}, car=Car{color='#5c76f8', vin='WBAKB4C59CC223882', company='Chevrolet', model='Colorado', model_year='2004', price=33419.8}, localization=Localization{country='Poland', city='Trzebinia'}, dateTime=2020-01-13T00:00}
