Purchase{id_porzadkowe_zakupu=18, person=Person{imie='Kissee', nazwisko='Paull', email='kpaullh@blogs.com', ip='226.237.22.103'}, car=Car{color='#9da9d2', vin='WA1LFAFP9CA893316', company='Chrysler', model='300M', model_year='2003', price=63058.4}, localization=Localization{country='Poland', city='Niedzica'}, dateTime=2020-10-26T00:00}
Purchase{id_porzadkowe_zakupu=83, person=Person{imie='Alethea', nazwisko='Greensted', email='agreensted2a@blogspot.com', ip='207.120.225.241'}, car=Car{color='#42b5c5', vin='WA1CYBFE6AD346143', company='Chrysler', model='Concorde', model_year='2001', price=37644.77}, localization=Localization{country='Poland', city='Łysomice'}, dateTime=2020-08-31T00:00}
Purchase{id_porzadkowe_zakupu=96, person=Person{imie='Ali', nazwisko='Chang', email='achang2n@archive.org', ip='30.226.219.224'}, car=Car{color='#b8342f', vin='3N1CE2CPXFL569911', company='Chrysler', model='PT Cruiser', model_year='2007', price=15721.87}, localization=Localization{country='Poland', city='Zielonka'}, dateTime=2020-01-03T00:00}
Purchase{id_porzadkowe_zakupu=132, person=Person{imie='Elna', nazwisko='Matyukon', email='ematyukon3n@tmall.com', ip='70.245.48.64'}, car=Car{color='#1922c4', vin='1GKS1AEC8FR177192', company='Chrysler', model='New Yorker', model_year='1996', price=639.91}, localization=Localization{country='Czech Republic', city='Bořitov'}, dateTime=2020-06-17T00:00}
Purchase{id_porzadkowe_zakupu=147, person=Person{imie='Taddeusz', nazwisko='Abberley', email='tabberley42@so-net.ne.jp', ip='96.32.64.77'}, car=Car{color='#57728c', vin='WAUSH98E26A653886', company='Chrysler', model='Concorde', model_year='2001', price=6938.73}, localization=Localization{country='Poland', city='Malbork'}, dateTime=2020-06-04T00:00}
Purchase{id_porzadkowe_zakupu=226, person=Person{imie='Aundrea', nazwisko='Bail', email='abail69@guardian.co.uk', ip='192.77.158.95'}, car=Car{color='#c6711e', vin='SALVP2BG3FH478858', company='Chrysler', model='PT Cruiser', model_year='2003', price=77632.5}, localization=Localization{country='Poland', city='Goworowo'}, dateTime=2020-06-20T00:00}
Purchase{id_porzadkowe_zakupu=331, person=Person{imie='Wayne', nazwisko='Hungerford', email='whungerford96@cafepress.com', ip='233.189.100.255'}, car=Car{color='#e59c76', vin='1G4HP52K44U838472', company='Chrysler', model='Cirrus', model_year='2000', price=52197.41}, localization=Localization{country='Czech Republic', city='Jablunkov'}, dateTime=2020-03-21T00:00}
Purchase{id_porzadkowe_zakupu=365, person=Person{imie='Gardy', nazwisko='Smithe', email='gsmithea4@miibeian.gov.cn', ip='122.77.115.51'}, car=Car{color='#b75cb4', vin='3FA6P0SU1DR045806', company='Chrysler', model='PT Cruiser', model_year='2001', price=93248.67}, localization=Localization{country='Poland', city='Rybno'}, dateTime=2020-07-26T00:00}
Purchase{id_porzadkowe_zakupu=408, person=Person{imie='Frayda', nazwisko='Asson', email='fassonbb@ibm.com', ip='122.56.109.141'}, car=Car{color='#46d325', vin='5XYKT3A6XFG661316', company='Chrysler', model='300M', model_year='2000', price=38131.86}, localization=Localization{country='Poland', city='Kętrzyn'}, dateTime=2020-12-27T00:00}
Purchase{id_porzadkowe_zakupu=552, person=Person{imie='Winnie', nazwisko='Pattisson', email='wpattissonfb@pagesperso-orange.fr', ip='209.52.195.203'}, car=Car{color='#a77a7f', vin='5GAKVCKD2DJ389334', company='Chrysler', model='Concorde', model_year='1995', price=27196.08}, localization=Localization{country='Czech Republic', city='Nýdek'}, dateTime=2020-05-29T00:00}
Purchase{id_porzadkowe_zakupu=571, person=Person{imie='Sisely', nazwisko='Burhouse', email='sburhousefu@reference.com', ip='149.89.251.104'}, car=Car{color='#c7a906', vin='WUAW2AFC2FN180690', company='Chrysler', model='Aspen', model_year='2008', price=43763.08}, localization=Localization{country='Poland', city='Dukla'}, dateTime=2020-01-13T00:00}
