Purchase{id_porzadkowe_zakupu=9, person=Person{imie='Antonella', nazwisko='Riepl', email='ariepl8@mediafire.com', ip='169.75.223.75'}, car=Car{color='#7c776f', vin='2D4RN5D13AR749927', company='Dodge', model='Neon', model_year='2004', price=18117.79}, localization=Localization{country='Poland', city='Dobrzyca'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=13, person=Person{imie='Nester', nazwisko='Caurah', email='ncaurahc@google.fr', ip='70.71.96.24'}, car=Car{color='#4e0fab', vin='2C3CDXHG5EH264592', company='Dodge', model='Charger', model_year='2009', price=75360.35}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-04-03T00:00}
Purchase{id_porzadkowe_zakupu=17, person=Person{imie='Gerty', nazwisko='Mouse', email='gmouseg@alexa.com', ip='23.47.231.189'}, car=Car{color='#7aef95', vin='3GYT4MEF1DG663367', company='Dodge', model='Ram Van 1500', model_year='1999', price=6048.17}, localization=Localization{country='Czech Republic', city='Zákupy'}, dateTime=2020-06-13T00:00}
Purchase{id_porzadkowe_zakupu=39, person=Person{imie='Delores', nazwisko='Wye', email='dwye12@fotki.com', ip='166.186.146.27'}, car=Car{color='#3bcc7f', vin='1YVHZ8BH3B5464829', company='Dodge', model='D150 Club', model_year='1992', price=45687.25}, localization=Localization{country='Poland', city='Skorogoszcz'}, dateTime=2020-03-17T00:00}
Purchase{id_porzadkowe_zakupu=56, person=Person{imie='Gerladina', nazwisko='Bonifas', email='gbonifas1j@nytimes.com', ip='86.232.119.84'}, car=Car{color='#41c993', vin='19XFB4F21FE114495', company='Dodge', model='Grand Caravan', model_year='1995', price=28993.93}, localization=Localization{country='Czech Republic', city='Mikulovice'}, dateTime=2020-01-27T00:00}
Purchase{id_porzadkowe_zakupu=61, person=Person{imie='Emelina', nazwisko='Quilter', email='equilter1o@cisco.com', ip='225.139.20.128'}, car=Car{color='#8b5783', vin='1N6AA0EK9FN039447', company='Dodge', model='Dakota Club', model_year='2002', price=15054.17}, localization=Localization{country='Czech Republic', city='Strančice'}, dateTime=2020-05-05T00:00}
Purchase{id_porzadkowe_zakupu=125, person=Person{imie='Gae', nazwisko='Lumox', email='glumox3g@vkontakte.ru', ip='70.104.8.190'}, car=Car{color='#d64ec1', vin='WAUBF98E48A446067', company='Dodge', model='Grand Caravan', model_year='2007', price=15038.94}, localization=Localization{country='Czech Republic', city='Zastávka'}, dateTime=2020-03-26T00:00}
Purchase{id_porzadkowe_zakupu=139, person=Person{imie='Pietrek', nazwisko='Gallahar', email='pgallahar3u@springer.com', ip='147.211.96.165'}, car=Car{color='#4977be', vin='WBAKA4C53BC902323', company='Dodge', model='Ram 1500', model_year='2008', price=98109.15}, localization=Localization{country='Czech Republic', city='Golčův Jeníkov'}, dateTime=2020-01-18T00:00}
Purchase{id_porzadkowe_zakupu=141, person=Person{imie='Eden', nazwisko='Scamadin', email='escamadin3w@photobucket.com', ip='125.62.186.223'}, car=Car{color='#79753b', vin='4T1BF1FKXDU192155', company='Dodge', model='Stratus', model_year='2004', price=75713.09}, localization=Localization{country='Czech Republic', city='Kobeřice'}, dateTime=2020-12-25T00:00}
Purchase{id_porzadkowe_zakupu=170, person=Person{imie='Korney', nazwisko='Teffrey', email='kteffrey4p@npr.org', ip='7.67.205.222'}, car=Car{color='#00b2d9', vin='SAJWA4DC4DM603701', company='Dodge', model='Dakota Club', model_year='1998', price=24630.42}, localization=Localization{country='Poland', city='Strzelce'}, dateTime=2020-10-20T00:00}
Purchase{id_porzadkowe_zakupu=224, person=Person{imie='Augustine', nazwisko='Niles', email='aniles67@nymag.com', ip='212.220.241.14'}, car=Car{color='#489fe8', vin='5J6YH1H30AL143945', company='Dodge', model='Ram 3500 Club', model_year='1997', price=51816.43}, localization=Localization{country='Poland', city='Sarnów'}, dateTime=2020-10-01T00:00}
Purchase{id_porzadkowe_zakupu=237, person=Person{imie='Stafani', nazwisko='Varnham', email='svarnham6k@weather.com', ip='145.239.57.201'}, car=Car{color='#d10e87', vin='SALAG2D44DA741088', company='Dodge', model='Ram Van 1500', model_year='1996', price=37628.39}, localization=Localization{country='Czech Republic', city='Fryčovice'}, dateTime=2020-02-06T00:00}
Purchase{id_porzadkowe_zakupu=242, person=Person{imie='Orsa', nazwisko='Abbotson', email='oabbotson6p@mtv.com', ip='60.105.181.167'}, car=Car{color='#c4a6ed', vin='1B3CB5HA1AD958772', company='Dodge', model='Daytona', model_year='1984', price=65849.56}, localization=Localization{country='Poland', city='Wola Uhruska'}, dateTime=2020-02-06T00:00}
Purchase{id_porzadkowe_zakupu=283, person=Person{imie='Julio', nazwisko='Stickles', email='jstickles7u@ehow.com', ip='188.10.28.24'}, car=Car{color='#6a2893', vin='1G6DC8EY0B0176915', company='Dodge', model='Magnum', model_year='2006', price=64382.28}, localization=Localization{country='Poland', city='Świdnica'}, dateTime=2020-03-30T00:00}
Purchase{id_porzadkowe_zakupu=298, person=Person{imie='Emyle', nazwisko='Ridpath', email='eridpath89@imgur.com', ip='133.30.210.65'}, car=Car{color='#37f526', vin='JN1BY1AP2EM933890', company='Dodge', model='Dakota Club', model_year='1993', price=996.28}, localization=Localization{country='Poland', city='Wińsko'}, dateTime=2020-09-24T00:00}
Purchase{id_porzadkowe_zakupu=320, person=Person{imie='Kristen', nazwisko='Girardez', email='kgirardez8v@hugedomains.com', ip='90.225.67.178'}, car=Car{color='#475f71', vin='4T1BF1FK9EU502698', company='Dodge', model='Grand Caravan', model_year='2001', price=77010.83}, localization=Localization{country='Poland', city='Włocławek'}, dateTime=2020-12-01T00:00}
Purchase{id_porzadkowe_zakupu=327, person=Person{imie='Morna', nazwisko='Arons', email='marons92@delicious.com', ip='28.117.126.136'}, car=Car{color='#a6311e', vin='JTHBL5EF7F1735134', company='Dodge', model='Stratus', model_year='2005', price=48100.31}, localization=Localization{country='Poland', city='Promna'}, dateTime=2020-12-12T00:00}
Purchase{id_porzadkowe_zakupu=407, person=Person{imie='Gracia', nazwisko='Falconar', email='gfalconarba@techcrunch.com', ip='96.144.138.187'}, car=Car{color='#e595dc', vin='WP0CA2A88AS487514', company='Dodge', model='Ram Van 2500', model_year='1999', price=58406.23}, localization=Localization{country='Czech Republic', city='Horní Libina'}, dateTime=2020-08-14T00:00}
Purchase{id_porzadkowe_zakupu=432, person=Person{imie='Gunther', nazwisko='Malby', email='gmalbybz@diigo.com', ip='185.78.75.188'}, car=Car{color='#165da5', vin='SALAB2D4XDA837242', company='Dodge', model='Caravan', model_year='2000', price=2124.36}, localization=Localization{country='Poland', city='Stoczek'}, dateTime=2020-03-06T00:00}
Purchase{id_porzadkowe_zakupu=435, person=Person{imie='Chadwick', nazwisko='Bonn', email='cbonnc2@bizjournals.com', ip='64.141.16.38'}, car=Car{color='#70f22c', vin='1FTEX1CM2DF720034', company='Dodge', model='Ram 2500 Club', model_year='1999', price=56625.93}, localization=Localization{country='Poland', city='Rydzyna'}, dateTime=2020-09-29T00:00}
Purchase{id_porzadkowe_zakupu=459, person=Person{imie='Darren', nazwisko='Baskerville', email='dbaskervillecq@exblog.jp', ip='62.248.212.213'}, car=Car{color='#c4fe53', vin='2HNYD18236H138164', company='Dodge', model='Charger', model_year='2009', price=58401.94}, localization=Localization{country='Czech Republic', city='Černý Most'}, dateTime=2020-06-08T00:00}
Purchase{id_porzadkowe_zakupu=491, person=Person{imie='Dulcinea', nazwisko='Seery', email='dseerydm@tuttocitta.it', ip='194.248.44.87'}, car=Car{color='#7e0b48', vin='SCBCU7ZA2BC744712', company='Dodge', model='Ram Van B350', model_year='1994', price=66831.5}, localization=Localization{country='Poland', city='Zbytków'}, dateTime=2020-11-16T00:00}
