Purchase{id_porzadkowe_zakupu=7, person=Person{imie='Ilario', nazwisko='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.7}, localization=Localization{country='Poland', city='Wapno'}, dateTime=2020-06-04T00:00}
Purchase{id_porzadkowe_zakupu=11, person=Person{imie='Ninette', nazwisko='Minard', email='nminarda@tinypic.com', ip='248.97.165.1'}, car=Car{color='#ce2408', vin='3D7TT2HTXBG962910', company='Ford', model='Escape', model_year='2000', price=66074.0}, localization=Localization{country='Czech Republic', city='Staré Město'}, dateTime=2020-09-19T00:00}
Purchase{id_porzadkowe_zakupu=33, person=Person{imie='Sheri', nazwisko='Dunham', email='sdunhamw@behance.net', ip='117.185.200.59'}, car=Car{color='#af1431', vin='1FTNX2A50AE167788', company='Ford', model='Mustang', model_year='2001', price=98060.01}, localization=Localization{country='Poland', city='Fajsławice'}, dateTime=2020-05-11T00:00}
Purchase{id_porzadkowe_zakupu=42, person=Person{imie='Torey', nazwisko='Baake', email='tbaake15@infoseek.co.jp', ip='236.205.233.29'}, car=Car{color='#e577f8', vin='3C3CFFFH5ET105840', company='Ford', model='Escape', model_year='2004', price=77271.23}, localization=Localization{country='Poland', city='Malbork'}, dateTime=2020-12-17T00:00}
Purchase{id_porzadkowe_zakupu=49, person=Person{imie='Bjorn', nazwisko='Fawthrop', email='bfawthrop1c@boston.com', ip='170.135.22.129'}, car=Car{color='#ecfcdb', vin='1FAHP3EN6BW566772', company='Ford', model='Edge', model_year='2010', price=23688.13}, localization=Localization{country='Czech Republic', city='Plasy'}, dateTime=2020-12-07T00:00}
Purchase{id_porzadkowe_zakupu=52, person=Person{imie='Garvey', nazwisko='Laval', email='glaval1f@aboutads.info', ip='121.166.111.198'}, car=Car{color='#e46be0', vin='WDDHH8JB4FB844541', company='Ford', model='F350', model_year='2007', price=29919.74}, localization=Localization{country='Poland', city='Trzciana'}, dateTime=2020-06-19T00:00}
Purchase{id_porzadkowe_zakupu=57, person=Person{imie='Lexie', nazwisko='Quesne', email='lquesne1k@huffingtonpost.com', ip='170.229.138.252'}, car=Car{color='#0b6ac2', vin='3D73M3CL8AG088050', company='Ford', model='Escape', model_year='2011', price=84054.37}, localization=Localization{country='Germany', city='München'}, dateTime=2020-02-02T00:00}
Purchase{id_porzadkowe_zakupu=63, person=Person{imie='Elinor', nazwisko='Walicki', email='ewalicki1q@myspace.com', ip='4.80.205.89'}, car=Car{color='#d38c8b', vin='WP0AA2A81FK247865', company='Ford', model='E-Series', model_year='1990', price=36141.09}, localization=Localization{country='Poland', city='Kłomnice'}, dateTime=2020-08-17T00:00}
Purchase{id_porzadkowe_zakupu=87, person=Person{imie='Hephzibah', nazwisko='Llorens', email='hllorens2e@nba.com', ip='153.32.83.243'}, car=Car{color='#4983ba', vin='19UUA65626A610940', company='Ford', model='Escape', model_year='2004', price=24614.31}, localization=Localization{country='Czech Republic', city='Ostravice'}, dateTime=2020-01-06T00:00}
Purchase{id_porzadkowe_zakupu=88, person=Person{imie='Waite', nazwisko='Barnfather', email='wbarnfather2f@1688.com', ip='25.134.227.114'}, car=Car{color='#bb13fb', vin='WBAKP9C54ED316479', company='Ford', model='Mustang', model_year='1992', price=75613.97}, localization=Localization{country='Czech Republic', city='Klobuky'}, dateTime=2020-10-13T00:00}
Purchase{id_porzadkowe_zakupu=92, person=Person{imie='Erhart', nazwisko='Spruce', email='espruce2j@techcrunch.com', ip='48.165.178.142'}, car=Car{color='#b24052', vin='19UUA9F50EA902169', company='Ford', model='Bronco', model_year='1984', price=75345.93}, localization=Localization{country='Czech Republic', city='Chabařovice'}, dateTime=2020-11-22T00:00}
Purchase{id_porzadkowe_zakupu=94, person=Person{imie='Ree', nazwisko='McEnhill', email='rmcenhill2l@springer.com', ip='4.229.129.143'}, car=Car{color='#65eb6c', vin='1FTNX2A51AE167024', company='Ford', model='Excursion', model_year='2000', price=73354.65}, localization=Localization{country='Poland', city='Młynary'}, dateTime=2020-03-11T00:00}
Purchase{id_porzadkowe_zakupu=163, person=Person{imie='Albertine', nazwisko='Sheasby', email='asheasby4i@weather.com', ip='203.65.83.72'}, car=Car{color='#8c6319', vin='2D4RN6DX2AR728030', company='Ford', model='E-Series', model_year='2012', price=16804.66}, localization=Localization{country='Poland', city='Zambrów'}, dateTime=2020-10-27T00:00}
Purchase{id_porzadkowe_zakupu=177, person=Person{imie='Shepherd', nazwisko='Ferraresi', email='sferraresi4w@census.gov', ip='143.159.243.151'}, car=Car{color='#1ea9a7', vin='1C3CDFCB9ED465706', company='Ford', model='Mustang', model_year='2013', price=5178.45}, localization=Localization{country='Czech Republic', city='Tvarožná'}, dateTime=2020-03-06T00:00}
Purchase{id_porzadkowe_zakupu=200, person=Person{imie='Drew', nazwisko='Menat', email='dmenat5j@bing.com', ip='22.217.105.10'}, car=Car{color='#efe232', vin='3VWC17AU3FM605198', company='Ford', model='Aerostar', model_year='1990', price=30656.51}, localization=Localization{country='Poland', city='Malanów'}, dateTime=2020-02-13T00:00}
