Purchase{id_porzadkowe_zakupu=41, person=Person{imie='Queenie', nazwisko='Vial', email='qvial14@multiply.com', ip='201.11.195.220'}, car=Car{color='#e8facb', vin='WAUCFAFH8BN695474', company='GMC', model='Suburban 1500', model_year='1993', price=31746.21}, localization=Localization{country='Slovakia', city='Bratislava'}, dateTime=2020-09-06T00:00}
Purchase{id_porzadkowe_zakupu=84, person=Person{imie='Erich', nazwisko='Cuniam', email='ecuniam2b@home.pl', ip='40.1.115.216'}, car=Car{color='#b82390', vin='JN8AZ2NC7D9278912', company='GMC', model='Jimmy', model_year='1995', price=64474.61}, localization=Localization{country='Germany', city='Mainz'}, dateTime=2020-07-27T00:00}
Purchase{id_porzadkowe_zakupu=101, person=Person{imie='Cassi', nazwisko='Lathey', email='clathey2s@amazonaws.com', ip='107.61.186.115'}, car=Car{color='#f6a43a', vin='3VW4A7AT5DM856202', company='GMC', model='Yukon', model_year='2005', price=64903.07}, localization=Localization{country='Czech Republic', city='Chroustovice'}, dateTime=2020-06-06T00:00}
Purchase{id_porzadkowe_zakupu=107, person=Person{imie='Luis', nazwisko='Charrisson', email='lcharrisson2y@over-blog.com', ip='173.83.117.187'}, car=Car{color='#0478e5', vin='WVGEF9BP1ED017355', company='GMC', model='2500', model_year='1994', price=38509.4}, localization=Localization{country='Czech Republic', city='Osek nad Bečvou'}, dateTime=2020-10-05T00:00}
Purchase{id_porzadkowe_zakupu=155, person=Person{imie='Shea', nazwisko='Dinzey', email='sdinzey4a@behance.net', ip='142.156.31.64'}, car=Car{color='#2b6d57', vin='2T1BU4EE8BC638837', company='GMC', model='Sierra Denali', model_year='2006', price=98958.47}, localization=Localization{country='Poland', city='Huta Stara B'}, dateTime=2020-06-02T00:00}
Purchase{id_porzadkowe_zakupu=165, person=Person{imie='Phillip', nazwisko='Arens', email='parens4k@chicagotribune.com', ip='5.104.36.246'}, car=Car{color='#a443d7', vin='WBAKF3C58CJ512861', company='GMC', model='Yukon XL 1500', model_year='2005', price=55144.44}, localization=Localization{country='Poland', city='Solec-Zdrój'}, dateTime=2020-06-15T00:00}
Purchase{id_porzadkowe_zakupu=184, person=Person{imie='Ole', nazwisko='Goymer', email='ogoymer53@ask.com', ip='113.144.242.228'}, car=Car{color='#2a3c74', vin='2HNYD18675H930982', company='GMC', model='Suburban 1500', model_year='1997', price=57284.76}, localization=Localization{country='Poland', city='Goworowo'}, dateTime=2020-07-20T00:00}
Purchase{id_porzadkowe_zakupu=205, person=Person{imie='Phyllis', nazwisko='Moysey', email='pmoysey5o@ezinearticles.com', ip='205.115.97.222'}, car=Car{color='#57c0fc', vin='1GYEE23A890226205', company='GMC', model='1500', model_year='1998', price=64062.67}, localization=Localization{country='Poland', city='Wiązownica'}, dateTime=2020-09-15T00:00}
Purchase{id_porzadkowe_zakupu=215, person=Person{imie='Antoni', nazwisko='Laneham', email='alaneham5y@sbwire.com', ip='31.69.2.106'}, car=Car{color='#72ec52', vin='KMHTC6AD8DU738521', company='GMC', model='Sierra', model_year='2008', price=51743.05}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-09-12T00:00}
Purchase{id_porzadkowe_zakupu=262, person=Person{imie='Tiphany', nazwisko='Le Gall', email='tlegall79@hc360.com', ip='242.214.94.194'}, car=Car{color='#cca36e', vin='WBAVM1C57EV303937', company='GMC', model='Envoy', model_year='2008', price=58388.07}, localization=Localization{country='Czech Republic', city='Žďár'}, dateTime=2020-06-02T00:00}
Purchase{id_porzadkowe_zakupu=263, person=Person{imie='Perren', nazwisko='Stroband', email='pstroband7a@google.co.jp', ip='26.153.98.123'}, car=Car{color='#9bb4bb', vin='5N1AA0NC8DN550684', company='GMC', model='Safari', model_year='1994', price=61548.34}, localization=Localization{country='Poland', city='Czerwieńsk'}, dateTime=2020-12-17T00:00}
Purchase{id_porzadkowe_zakupu=292, person=Person{imie='Giles', nazwisko='Connow', email='gconnow83@youtube.com', ip='235.79.131.45'}, car=Car{color='#0f626f', vin='JTDJTUD38ED707208', company='GMC', model='Yukon XL 2500', model_year='2007', price=69035.73}, localization=Localization{country='Poland', city='Malanów'}, dateTime=2020-11-20T00:00}
Purchase{id_porzadkowe_zakupu=308, person=Person{imie='Granthem', nazwisko='Eadon', email='geadon8j@salon.com', ip='132.24.118.249'}, car=Car{color='#19c402', vin='KM8NU4CC4AU614708', company='GMC', model='Yukon', model_year='2004', price=72033.77}, localization=Localization{country='Czech Republic', city='Plasy'}, dateTime=2020-05-02T00:00}
