Purchase{id_porzadkowe_zakupu=119, person=Person{imie='Arielle', nazwisko='Guilloud', email='aguilloud3a@instagram.com', ip='68.234.56.80'}, car=Car{color='#d2b6dd', vin='3C6JD6DKXCG825607', company='Hyundai', model='Veracruz', model_year='2009', price=9339.93}, localization=Localization{country='Czech Republic', city='Zlín'}, dateTime=2020-02-28T00:00}
Purchase{id_porzadkowe_zakupu=151, person=Person{imie='Granthem', nazwisko='Van Salzberger', email='gvansalzberger46@blinklist.com', ip='53.2.58.249'}, car=Car{color='#f7746e', vin='1B3BD2FB1BN314720', company='Hyundai', model='Veracruz', model_year='2007', price=78018.69}, localization=Localization{country='Slovakia', city='Bratislava'}, dateTime=2020-07-28T00:00}
Purchase{id_porzadkowe_zakupu=220, person=Person{imie='Katleen', nazwisko='Thirlwell', email='kthirlwell63@prweb.com', ip='186.43.128.139'}, car=Car{color='#e6eea6', vin='YV1952AS8D1537259', company='Hyundai', model='Genesis Coupe', model_year='2010', price=16713.2}, localization=Localization{country='Poland', city='Złoczew'}, dateTime=2020-09-04T00:00}
Purchase{id_porzadkowe_zakupu=319, person=Person{imie='Hobey', nazwisko='Brinkler', email='hbrinkler8u@amazon.co.uk', ip='115.103.9.158'}, car=Car{color='#1425ec', vin='JTHKD5BH7D2683417', company='Hyundai', model='Tiburon', model_year='2007', price=64358.19}, localization=Localization{country='Germany', city='Essen'}, dateTime=2020-08-20T00:00}
Purchase{id_porzadkowe_zakupu=337, person=Person{imie='Sebastien', nazwisko='Guinan', email='sguinan9c@istockphoto.com', ip='137.46.185.192'}, car=Car{color='#d3a290', vin='WAUKG68E45A123919', company='Hyundai', model='Sonata', model_year='1995', price=59514.9}, localization=Localization{country='Czech Republic', city='Perštejn'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=357, person=Person{imie='Beltran', nazwisko='Crosseland', email='bcrosseland9w@hao123.com', ip='195.239.193.201'}, car=Car{color='#b70c2b', vin='SCFAB01A16G868855', company='Hyundai', model='Sonata', model_year='2000', price=7347.83}, localization=Localization{country='Poland', city='Sypniewo'}, dateTime=2020-05-04T00:00}
Purchase{id_porzadkowe_zakupu=383, person=Person{imie='Zed', nazwisko='Cyson', email='zcysonam@360.cn', ip='46.216.196.77'}, car=Car{color='#fd36f8', vin='4T1BF3EK6BU192597', company='Hyundai', model='Sonata', model_year='2002', price=37295.71}, localization=Localization{country='Poland', city='Pułtusk'}, dateTime=2020-10-18T00:00}
Purchase{id_porzadkowe_zakupu=422, person=Person{imie='Madalena', nazwisko='Sandall', email='msandallbp@arizona.edu', ip='84.36.173.165'}, car=Car{color='#405af8', vin='19UUA66276A639006', company='Hyundai', model='Sonata', model_year='1994', price=71339.39}, localization=Localization{country='Czech Republic', city='Vrdy'}, dateTime=2020-09-29T00:00}
Purchase{id_porzadkowe_zakupu=477, person=Person{imie='Minerva', nazwisko='Hinkens', email='mhinkensd8@hud.gov', ip='64.138.94.136'}, car=Car{color='#75631d', vin='1FMJK1H54BE033876', company='Hyundai', model='Tucson', model_year='2007', price=96352.61}, localization=Localization{country='Poland', city='Sosnowiec'}, dateTime=2020-08-07T00:00}
Purchase{id_porzadkowe_zakupu=482, person=Person{imie='Sebastiano', nazwisko='Pariss', email='sparissdd@bbc.co.uk', ip='73.129.66.235'}, car=Car{color='#6f46ed', vin='YV1622FS6C2062921', company='Hyundai', model='Accent', model_year='2006', price=24129.79}, localization=Localization{country='Czech Republic', city='Týnec'}, dateTime=2020-06-27T00:00}
Purchase{id_porzadkowe_zakupu=560, person=Person{imie='Alejoa', nazwisko='Poveleye', email='apoveleyefj@discovery.com', ip='165.67.52.40'}, car=Car{color='#ea79fa', vin='3C4PDDEG9FT460043', company='Hyundai', model='Azera', model_year='2008', price=11607.56}, localization=Localization{country='Poland', city='Złoty Stok'}, dateTime=2020-12-02T00:00}
Purchase{id_porzadkowe_zakupu=600, person=Person{imie='Ezekiel', nazwisko='Morriarty', email='emorriartygn@xinhuanet.com', ip='196.126.238.57'}, car=Car{color='#eedad0', vin='1C3CDZCB9DN297799', company='Hyundai', model='Azera', model_year='2008', price=18203.75}, localization=Localization{country='Czech Republic', city='Habry'}, dateTime=2020-10-20T00:00}
Purchase{id_porzadkowe_zakupu=668, person=Person{imie='Augustine', nazwisko='Murfett', email='amurfettij@apache.org', ip='10.185.87.127'}, car=Car{color='#27b592', vin='5NPDH4AEXBH533166', company='Hyundai', model='Genesis', model_year='2009', price=1489.55}, localization=Localization{country='Czech Republic', city='Velké Bílovice'}, dateTime=2020-09-28T00:00}
Purchase{id_porzadkowe_zakupu=744, person=Person{imie='Brook', nazwisko='Maling', email='bmalingkn@ustream.tv', ip='218.96.249.226'}, car=Car{color='#5cd826', vin='SALFR2BN3CH239657', company='Hyundai', model='Sonata', model_year='2007', price=87557.69}, localization=Localization{country='Poland', city='Niedzica'}, dateTime=2020-04-05T00:00}
Purchase{id_porzadkowe_zakupu=791, person=Person{imie='Dillon', nazwisko='Goolden', email='dgooldenly@ibm.com', ip='98.10.45.205'}, car=Car{color='#9882e2', vin='1FMEU6FE6AU564822', company='Hyundai', model='Santa Fe', model_year='2006', price=38452.21}, localization=Localization{country='Czech Republic', city='Prachatice'}, dateTime=2020-10-23T00:00}
Purchase{id_porzadkowe_zakupu=846, person=Person{imie='Reg', nazwisko='Topping', email='rtoppingnh@pagesperso-orange.fr', ip='232.85.187.214'}, car=Car{color='#52def9', vin='JN8AS5MT0BW729667', company='Hyundai', model='Elantra', model_year='2009', price=98188.28}, localization=Localization{country='Czech Republic', city='Křížová'}, dateTime=2020-06-24T00:00}
Purchase{id_porzadkowe_zakupu=854, person=Person{imie='Karlik', nazwisko='Kevern', email='kkevernnp@google.com.hk', ip='180.203.254.113'}, car=Car{color='#7b1ce8', vin='5TDBK3EH4DS741046', company='Hyundai', model='Elantra', model_year='2011', price=2283.22}, localization=Localization{country='Czech Republic', city='Buštěhrad'}, dateTime=2020-02-23T00:00}
Purchase{id_porzadkowe_zakupu=859, person=Person{imie='Ingmar', nazwisko='Bettis', email='ibettisnu@mediafire.com', ip='246.233.175.150'}, car=Car{color='#4cd33c', vin='WAUMF98P06A214847', company='Hyundai', model='Azera', model_year='2009', price=18176.17}, localization=Localization{country='Poland', city='Gwoźnica Górna'}, dateTime=2020-08-31T00:00}
Purchase{id_porzadkowe_zakupu=900, person=Person{imie='Lavina', nazwisko='Nieass', email='lnieassoz@oracle.com', ip='161.210.226.255'}, car=Car{color='#673e12', vin='SCBBR53WX6C362407', company='Hyundai', model='Accent', model_year='2012', price=2478.54}, localization=Localization{country='Poland', city='Dobre Miasto'}, dateTime=2020-04-21T00:00}
Purchase{id_porzadkowe_zakupu=931, person=Person{imie='Dagmar', nazwisko='Moodycliffe', email='dmoodycliffepu@cisco.com', ip='230.189.241.167'}, car=Car{color='#019143', vin='KNADH4A38B6595431', company='Hyundai', model='Accent', model_year='2002', price=46633.87}, localization=Localization{country='Poland', city='Strzelce'}, dateTime=2020-07-26T00:00}
Purchase{id_porzadkowe_zakupu=973, person=Person{imie='Jolie', nazwisko='Lilywhite', email='jlilywhiter0@sphinn.com', ip='110.56.3.212'}, car=Car{color='#67faf4', vin='1GYS3DEF2ER559552', company='Hyundai', model='Scoupe', model_year='1994', price=66626.9}, localization=Localization{country='Poland', city='Czerwonak'}, dateTime=2020-08-08T00:00}
