Purchase{id_porzadkowe_zakupu=35, person=Person{imie='Noll', nazwisko='Mazzia', email='nmazziay@github.com', ip='186.76.124.140'}, car=Car{color='#704f70', vin='1G6KD57Y68U623880', company='Infiniti', model='Q', model_year='1993', price=22305.5}, localization=Localization{country='Czech Republic', city='Horní Suchá'}, dateTime=2020-12-07T00:00}
Purchase{id_porzadkowe_zakupu=111, person=Person{imie='Blondell', nazwisko='Lensch', email='blensch32@google.fr', ip='42.63.200.75'}, car=Car{color='#b47c83', vin='WDDGF4HB4CR544971', company='Infiniti', model='FX', model_year='2009', price=10297.11}, localization=Localization{country='Czech Republic', city='Batelov'}, dateTime=2020-02-03T00:00}
Purchase{id_porzadkowe_zakupu=228, person=Person{imie='Ki', nazwisko='Camerello', email='kcamerello6b@examiner.com', ip='209.124.238.39'}, car=Car{color='#2ab356', vin='1G4PP5SK7E4298712', company='Infiniti', model='G35', model_year='2008', price=70158.45}, localization=Localization{country='Germany', city='Duisburg'}, dateTime=2020-06-20T00:00}
Purchase{id_porzadkowe_zakupu=360, person=Person{imie='Lotti', nazwisko='Keeton', email='lkeeton9z@comcast.net', ip='8.56.152.152'}, car=Car{color='#750c76', vin='1FMJU2A58AE068204', company='Infiniti', model='G37', model_year='2011', price=91197.03}, localization=Localization{country='Czech Republic', city='Rychnov nad Kněžnou'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=411, person=Person{imie='Hodge', nazwisko='Vinck', email='hvinckbe@merriam-webster.com', ip='113.254.120.64'}, car=Car{color='#0bba7c', vin='WBABD53495P424247', company='Infiniti', model='G', model_year='2000', price=19425.7}, localization=Localization{country='Poland', city='Rokitno Szlacheckie'}, dateTime=2020-02-15T00:00}
Purchase{id_porzadkowe_zakupu=427, person=Person{imie='Deck', nazwisko='Ebbers', email='debbersbu@huffingtonpost.com', ip='39.211.228.245'}, car=Car{color='#b2be1c', vin='WAUAF98E37A175948', company='Infiniti', model='G', model_year='2012', price=87854.37}, localization=Localization{country='Poland', city='Łopuszna'}, dateTime=2020-03-07T00:00}
Purchase{id_porzadkowe_zakupu=535, person=Person{imie='Chantalle', nazwisko='Forcer', email='cforcereu@tmall.com', ip='143.254.62.130'}, car=Car{color='#261776', vin='JN8AZ2KR5CT188636', company='Infiniti', model='I', model_year='1996', price=23254.85}, localization=Localization{country='Czech Republic', city='Březí'}, dateTime=2020-01-27T00:00}
Purchase{id_porzadkowe_zakupu=593, person=Person{imie='Todd', nazwisko='Spieck', email='tspieckgg@prnewswire.com', ip='26.10.117.78'}, car=Car{color='#95c552', vin='1G4GG5E39DF428822', company='Infiniti', model='FX', model_year='2010', price=46100.27}, localization=Localization{country='Poland', city='Trzciana'}, dateTime=2020-04-05T00:00}
Purchase{id_porzadkowe_zakupu=672, person=Person{imie='Sheri', nazwisko='Daysh', email='sdayshin@blogtalkradio.com', ip='66.128.182.219'}, car=Car{color='#63936e', vin='5NMSG3AB1AH609122', company='Infiniti', model='J', model_year='1993', price=28641.01}, localization=Localization{country='Czech Republic', city='Březová'}, dateTime=2020-03-03T00:00}
Purchase{id_porzadkowe_zakupu=678, person=Person{imie='Maryanne', nazwisko='Comoletti', email='mcomolettiit@amazon.de', ip='10.6.113.18'}, car=Car{color='#820fc4', vin='1GKS1AE06CR916206', company='Infiniti', model='QX', model_year='2004', price=94251.36}, localization=Localization{country='Poland', city='Żarki'}, dateTime=2020-06-03T00:00}
Purchase{id_porzadkowe_zakupu=777, person=Person{imie='Hewie', nazwisko='Gerwood', email='hgerwoodlk@unesco.org', ip='17.71.222.173'}, car=Car{color='#c7d6fd', vin='JH4CU2F46CC871476', company='Infiniti', model='FX', model_year='2007', price=36091.78}, localization=Localization{country='Czech Republic', city='Vlachovice'}, dateTime=2020-10-13T00:00}
Purchase{id_porzadkowe_zakupu=806, person=Person{imie='May', nazwisko='Meller', email='mmellermd@wix.com', ip='100.14.255.178'}, car=Car{color='#742fee', vin='WAUWGAFB8BN900085', company='Infiniti', model='M', model_year='2009', price=2551.07}, localization=Localization{country='Czech Republic', city='Bohumín'}, dateTime=2020-10-17T00:00}
Purchase{id_porzadkowe_zakupu=889, person=Person{imie='Emyle', nazwisko='Bemrose', email='ebemroseoo@wsj.com', ip='93.71.228.19'}, car=Car{color='#bf1442', vin='ML32A3HJ1FH973566', company='Infiniti', model='EX', model_year='2009', price=1044.88}, localization=Localization{country='Poland', city='Grębków'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=908, person=Person{imie='Cymbre', nazwisko='Toplis', email='ctoplisp7@cyberchimps.com', ip='22.93.159.188'}, car=Car{color='#04fd94', vin='1FTNS1EW9AD001481', company='Infiniti', model='M', model_year='2006', price=96817.88}, localization=Localization{country='Poland', city='Nowy Dwór Gdański'}, dateTime=2020-08-29T00:00}
