Purchase{id_porzadkowe_zakupu=2, person=Person{imie='Rozalie', nazwisko='Koles', email='rkoles1@va.gov', ip='163.62.162.110'}, car=Car{color='#9a89e7', vin='5UXKS4C52F0757166', company='Lexus', model='IS F', model_year='2009', price=72669.07}, localization=Localization{country='Poland', city='Kotuń'}, dateTime=2020-07-22T00:00}
Purchase{id_porzadkowe_zakupu=196, person=Person{imie='Farrel', nazwisko='Housley', email='fhousley5f@fc2.com', ip='164.185.140.49'}, car=Car{color='#00a1c9', vin='WP0CA2A8XBU992217', company='Lexus', model='LS', model_year='1991', price=90019.91}, localization=Localization{country='Czech Republic', city='Jedlová'}, dateTime=2020-03-26T00:00}
Purchase{id_porzadkowe_zakupu=207, person=Person{imie='Brett', nazwisko='Poulsen', email='bpoulsen5q@wikipedia.org', ip='241.134.75.24'}, car=Car{color='#710a9f', vin='WAUKG74F66N843818', company='Lexus', model='ES', model_year='1996', price=75323.1}, localization=Localization{country='Germany', city='Neuss'}, dateTime=2020-02-08T00:00}
Purchase{id_porzadkowe_zakupu=286, person=Person{imie='Viki', nazwisko='Lummis', email='vlummis7x@webmd.com', ip='10.88.110.132'}, car=Car{color='#f09885', vin='2C3CDXCT3DH859198', company='Lexus', model='LX', model_year='2013', price=61266.53}, localization=Localization{country='Poland', city='Libiąż'}, dateTime=2020-09-19T00:00}
Purchase{id_porzadkowe_zakupu=393, person=Person{imie='Harald', nazwisko='Djordjevic', email='hdjordjevicaw@is.gd', ip='230.153.67.67'}, car=Car{color='#f54b25', vin='JN8AZ2KR3AT723377', company='Lexus', model='IS F', model_year='2010', price=7464.01}, localization=Localization{country='Poland', city='Mrzeżyno'}, dateTime=2020-01-25T00:00}
Purchase{id_porzadkowe_zakupu=489, person=Person{imie='Brooke', nazwisko='Bartlam', email='bbartlamdk@samsung.com', ip='142.25.207.201'}, car=Car{color='#a8aaf8', vin='4A31K3DT7AE924652', company='Lexus', model='IS', model_year='2008', price=29762.35}, localization=Localization{country='Czech Republic', city='Kralupy nad Vltavou'}, dateTime=2020-12-06T00:00}
Purchase{id_porzadkowe_zakupu=713, person=Person{imie='Mac', nazwisko='Maxsted', email='mmaxstedjs@globo.com', ip='4.229.2.72'}, car=Car{color='#ce85cd', vin='SCFFDABM9DG129650', company='Lexus', model='IS', model_year='2007', price=43953.17}, localization=Localization{country='Poland', city='Dziemiany'}, dateTime=2020-02-20T00:00}
Purchase{id_porzadkowe_zakupu=817, person=Person{imie='Faye', nazwisko='Jellis', email='fjellismo@tmall.com', ip='16.33.233.143'}, car=Car{color='#421bac', vin='1G4GD5ED7BF117694', company='Lexus', model='LS', model_year='1999', price=28444.16}, localization=Localization{country='Czech Republic', city='Mirotice'}, dateTime=2020-03-01T00:00}
Purchase{id_porzadkowe_zakupu=842, person=Person{imie='Shaylah', nazwisko='Airey', email='saireynd@yahoo.com', ip='186.137.165.179'}, car=Car{color='#b1b67f', vin='WVWGU7AN2CE955413', company='Lexus', model='SC', model_year='2004', price=61697.15}, localization=Localization{country='Poland', city='Krzeczów'}, dateTime=2020-02-14T00:00}
Purchase{id_porzadkowe_zakupu=881, person=Person{imie='Rochella', nazwisko='Deverell', email='rdeverellog@google.fr', ip='30.245.34.73'}, car=Car{color='#8e3cae', vin='WAUML54B83N076720', company='Lexus', model='IS-F', model_year='2011', price=20327.75}, localization=Localization{country='Poland', city='Słupno'}, dateTime=2020-09-04T00:00}
Purchase{id_porzadkowe_zakupu=882, person=Person{imie='Tanner', nazwisko='Courtois', email='tcourtoisoh@ucla.edu', ip='225.119.229.78'}, car=Car{color='#6a96d0', vin='1D4RE2GGXBC829525', company='Lexus', model='SC', model_year='2009', price=51389.1}, localization=Localization{country='Germany', city='Dresden'}, dateTime=2020-09-11T00:00}
Purchase{id_porzadkowe_zakupu=980, person=Person{imie='Brooke', nazwisko='Stable', email='bstabler7@newyorker.com', ip='225.126.36.32'}, car=Car{color='#a276c8', vin='TRUWC28N811808207', company='Lexus', model='GS', model_year='1993', price=68162.34}, localization=Localization{country='Czech Republic', city='Tvarožná'}, dateTime=2020-06-05T00:00}
