Purchase{id_porzadkowe_zakupu=145, person=Person{imie='Coop', nazwisko='Gentle', email='cgentle40@deliciousdays.com', ip='223.25.202.25'}, car=Car{color='#c085da', vin='WAUUL78E16A944097', company='Lincoln', model='MKT', model_year='2011', price=6444.46}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-04-14T00:00}
Purchase{id_porzadkowe_zakupu=270, person=Person{imie='Daphene', nazwisko='Bridge', email='dbridge7h@hhs.gov', ip='66.13.144.195'}, car=Car{color='#08d512', vin='YV1672MK8D2251270', company='Lincoln', model='Town Car', model_year='1990', price=96472.28}, localization=Localization{country='Czech Republic', city='Bavorov'}, dateTime=2020-03-27T00:00}
Purchase{id_porzadkowe_zakupu=278, person=Person{imie='Gloriane', nazwisko='Schonfelder', email='gschonfelder7p@shinystat.com', ip='46.88.108.64'}, car=Car{color='#0e97fa', vin='JTJHY7AX3F4021021', company='Lincoln', model='Navigator', model_year='2007', price=90568.26}, localization=Localization{country='Poland', city='Spytkowice'}, dateTime=2020-11-29T00:00}
Purchase{id_porzadkowe_zakupu=479, person=Person{imie='Shurwood', nazwisko='Garland', email='sgarlandda@printfriendly.com', ip='200.62.13.233'}, car=Car{color='#621956', vin='1GKMCAE37AR373541', company='Lincoln', model='Navigator L', model_year='2007', price=48521.65}, localization=Localization{country='Czech Republic', city='Kladruby'}, dateTime=2020-11-22T00:00}
Purchase{id_porzadkowe_zakupu=525, person=Person{imie='Juliann', nazwisko='Moncarr', email='jmoncarrek@wisc.edu', ip='180.95.43.166'}, car=Car{color='#22225b', vin='WAU4FAFRXCA959042', company='Lincoln', model='Blackwood', model_year='2002', price=31306.78}, localization=Localization{country='Poland', city='Janikowo'}, dateTime=2020-09-05T00:00}
Purchase{id_porzadkowe_zakupu=717, person=Person{imie='Tiebout', nazwisko='Hadenton', email='thadentonjw@plala.or.jp', ip='82.188.213.139'}, car=Car{color='#c2bf43', vin='KM8JT3AB0CU252997', company='Lincoln', model='Navigator', model_year='2008', price=1229.56}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-11-26T00:00}
Purchase{id_porzadkowe_zakupu=718, person=Person{imie='Kellina', nazwisko='Hanalan', email='khanalanjx@npr.org', ip='86.94.25.150'}, car=Car{color='#b36c62', vin='WBA3A5C54DJ985706', company='Lincoln', model='Navigator', model_year='2006', price=14405.46}, localization=Localization{country='Poland', city='Zabierzów'}, dateTime=2020-09-14T00:00}
Purchase{id_porzadkowe_zakupu=813, person=Person{imie='Sarette', nazwisko='Lissenden', email='slissendenmk@stumbleupon.com', ip='226.227.121.33'}, car=Car{color='#86312e', vin='5TDBKRFH1ES664560', company='Lincoln', model='Mark VIII', model_year='1998', price=53874.79}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-07-02T00:00}
Purchase{id_porzadkowe_zakupu=839, person=Person{imie='Ode', nazwisko='Sackett', email='osackettna@abc.net.au', ip='69.217.46.81'}, car=Car{color='#55c009', vin='WA1CMAFP1EA573111', company='Lincoln', model='Town Car', model_year='1993', price=74697.14}, localization=Localization{country='Poland', city='Hyżne'}, dateTime=2020-12-26T00:00}
Purchase{id_porzadkowe_zakupu=942, person=Person{imie='Brandon', nazwisko='Sclanders', email='bsclandersq5@usda.gov', ip='70.89.156.230'}, car=Car{color='#64bf1a', vin='WBAVC93558K375551', company='Lincoln', model='Continental', model_year='1989', price=66092.79}, localization=Localization{country='Germany', city='München'}, dateTime=2020-06-07T00:00}
Purchase{id_porzadkowe_zakupu=996, person=Person{imie='Quent', nazwisko='Lillgard', email='qlillgardrn@samsung.com', ip='144.218.189.171'}, car=Car{color='#9b9ca3', vin='WBAPH7G51BN565510', company='Lincoln', model='MKT', model_year='2010', price=60519.09}, localization=Localization{country='Poland', city='Zator'}, dateTime=2020-12-16T00:00}
