Purchase{id_porzadkowe_zakupu=5, person=Person{imie='Gabbi', nazwisko='Hafner', email='ghafner4@icio.us', ip='8.198.1.190'}, car=Car{color='#0d807c', vin='WBAFU9C5XDD400069', company='Mazda', model='B-Series Plus', model_year='2004', price=71988.49}, localization=Localization{country='Poland', city='Gilowice'}, dateTime=2020-12-26T00:00}
Purchase{id_porzadkowe_zakupu=8, person=Person{imie='Kean', nazwisko='Corday', email='kcorday7@stanford.edu', ip='153.153.169.51'}, car=Car{color='#9464f8', vin='WAUDGAFL2CA998863', company='Mazda', model='MX-5', model_year='1994', price=25332.86}, localization=Localization{country='Czech Republic', city='Příbram'}, dateTime=2020-01-23T00:00}
Purchase{id_porzadkowe_zakupu=40, person=Person{imie='Dori', nazwisko='Leroux', email='dleroux13@mysql.com', ip='227.62.73.141'}, car=Car{color='#035e85', vin='JTHDU1EF6A5223784', company='Mazda', model='Mazdaspeed 3', model_year='2007', price=43416.68}, localization=Localization{country='Poland', city='Jonkowo'}, dateTime=2020-11-14T00:00}
Purchase{id_porzadkowe_zakupu=58, person=Person{imie='Binky', nazwisko='Hendrickson', email='bhendrickson1l@flickr.com', ip='89.4.101.35'}, car=Car{color='#fc75a3', vin='SAJWA4EB8EL899450', company='Mazda', model='CX-7', model_year='2010', price=74018.72}, localization=Localization{country='Poland', city='Płońsk'}, dateTime=2020-02-02T00:00}
Purchase{id_porzadkowe_zakupu=120, person=Person{imie='Carter', nazwisko='Ayree', email='cayree3b@examiner.com', ip='68.252.134.98'}, car=Car{color='#2d3fe8', vin='1G4HA5EM8BU593803', company='Mazda', model='Mazda2', model_year='2012', price=77296.02}, localization=Localization{country='Poland', city='Wojaszówka'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=160, person=Person{imie='Brigit', nazwisko='Giannasi', email='bgiannasi4f@youtu.be', ip='203.238.49.210'}, car=Car{color='#2c4d52', vin='1G4PR5SK9D4589754', company='Mazda', model='626', model_year='2001', price=34880.98}, localization=Localization{country='Czech Republic', city='Modřice'}, dateTime=2020-03-05T00:00}
Purchase{id_porzadkowe_zakupu=190, person=Person{imie='Ludwig', nazwisko='Jovicic', email='ljovicic59@cbslocal.com', ip='134.139.223.47'}, car=Car{color='#c46eb4', vin='KNAFZ6A35F5226233', company='Mazda', model='MX-5', model_year='2012', price=29357.94}, localization=Localization{country='Czech Republic', city='Chyňava'}, dateTime=2020-06-15T00:00}
Purchase{id_porzadkowe_zakupu=213, person=Person{imie='Leoine', nazwisko='Sowman', email='lsowman5w@independent.co.uk', ip='232.60.68.122'}, car=Car{color='#feb9d8', vin='WDDJK7DA5EF653122', company='Mazda', model='CX-7', model_year='2008', price=53087.83}, localization=Localization{country='Poland', city='Kraków'}, dateTime=2020-01-10T00:00}
Purchase{id_porzadkowe_zakupu=229, person=Person{imie='Carey', nazwisko='Moland', email='cmoland6c@ucoz.ru', ip='178.112.146.213'}, car=Car{color='#26dbf1', vin='JTDBT4K35CL411945', company='Mazda', model='Millenia', model_year='1999', price=22569.04}, localization=Localization{country='Poland', city='Sośno'}, dateTime=2020-05-04T00:00}
Purchase{id_porzadkowe_zakupu=232, person=Person{imie='Harwell', nazwisko='Kenwin', email='hkenwin6f@baidu.com', ip='226.119.8.33'}, car=Car{color='#a050d3', vin='WA1CGAFE0ED941315', company='Mazda', model='CX-5', model_year='2013', price=56757.95}, localization=Localization{country='Poland', city='Rokietnica'}, dateTime=2020-04-02T00:00}
Purchase{id_porzadkowe_zakupu=271, person=Person{imie='Morse', nazwisko='Borg-Bartolo', email='mborgbartolo7i@webmd.com', ip='51.39.204.103'}, car=Car{color='#cc0528', vin='1G6AM5SX7E0541153', company='Mazda', model='Millenia', model_year='1996', price=37991.48}, localization=Localization{country='Denmark', city='Frederiksberg'}, dateTime=2020-09-23T00:00}
Purchase{id_porzadkowe_zakupu=284, person=Person{imie='Alyce', nazwisko='McGrae', email='amcgrae7v@mediafire.com', ip='225.100.7.23'}, car=Car{color='#157c71', vin='WAUGFAFC4DN341041', company='Mazda', model='CX-7', model_year='2009', price=80814.8}, localization=Localization{country='Czech Republic', city='Lukavec'}, dateTime=2020-03-05T00:00}
Purchase{id_porzadkowe_zakupu=297, person=Person{imie='Aurelea', nazwisko='Dumbarton', email='adumbarton88@ameblo.jp', ip='242.229.200.222'}, car=Car{color='#cd1c54', vin='1G6DK8E35D0811587', company='Mazda', model='RX-7', model_year='1983', price=54789.33}, localization=Localization{country='Poland', city='Korczew'}, dateTime=2020-12-24T00:00}
Purchase{id_porzadkowe_zakupu=334, person=Person{imie='Cart', nazwisko='Rozzier', email='crozzier99@samsung.com', ip='143.85.71.187'}, car=Car{color='#91192e', vin='1FTEX1C82AF480997', company='Mazda', model='RX-7', model_year='1989', price=60821.1}, localization=Localization{country='Czech Republic', city='Grygov'}, dateTime=2020-06-11T00:00}
Purchase{id_porzadkowe_zakupu=370, person=Person{imie='Rodie', nazwisko='Windress', email='rwindressa9@admin.ch', ip='128.140.17.88'}, car=Car{color='#dc372d', vin='3N1BC1AP8BL565641', company='Mazda', model='B2000', model_year='1985', price=69924.62}, localization=Localization{country='Poland', city='Stoczek'}, dateTime=2020-12-01T00:00}
Purchase{id_porzadkowe_zakupu=391, person=Person{imie='Kellby', nazwisko='Feeham', email='kfeehamau@odnoklassniki.ru', ip='86.118.49.71'}, car=Car{color='#e46b3a', vin='5N1AN0NU9DN745948', company='Mazda', model='B-Series Plus', model_year='2002', price=81993.36}, localization=Localization{country='Poland', city='Trzebnica'}, dateTime=2020-07-26T00:00}
