Purchase{id_porzadkowe_zakupu=27, person=Person{imie='Carmen', nazwisko='Bowen', email='cbowenq@nationalgeographic.com', ip='63.239.51.206'}, car=Car{color='#3fb1cf', vin='WAUGL98E25A270887', company='Mercedes-Benz', model='E-Class', model_year='2005', price=59050.98}, localization=Localization{country='Germany', city='Kassel'}, dateTime=2020-03-14T00:00}
Purchase{id_porzadkowe_zakupu=47, person=Person{imie='Jarrid', nazwisko='Andreotti', email='jandreotti1a@acquirethisname.com', ip='38.184.194.184'}, car=Car{color='#0ba4ce', vin='WAUDGAFL5DA732884', company='Mercedes-Benz', model='CLS-Class', model_year='2011', price=3183.57}, localization=Localization{country='Poland', city='Drawsko Pomorskie'}, dateTime=2020-01-09T00:00}
Purchase{id_porzadkowe_zakupu=50, person=Person{imie='Sollie', nazwisko='Palatino', email='spalatino1d@linkedin.com', ip='37.149.119.171'}, car=Car{color='#a8deac', vin='5GAEV23D39J957670', company='Mercedes-Benz', model='SLS AMG', model_year='2012', price=6369.83}, localization=Localization{country='Czech Republic', city='Znojmo'}, dateTime=2020-10-03T00:00}
Purchase{id_porzadkowe_zakupu=59, person=Person{imie='Julieta', nazwisko='Havock', email='jhavock1m@sohu.com', ip='104.226.28.113'}, car=Car{color='#24f4f5', vin='WBSDX9C54BE066526', company='Mercedes-Benz', model='SL-Class', model_year='1984', price=42147.27}, localization=Localization{country='Poland', city='Sanok'}, dateTime=2020-03-24T00:00}
Purchase{id_porzadkowe_zakupu=69, person=Person{imie='Arley', nazwisko='Blouet', email='ablouet1w@npr.org', ip='98.161.76.178'}, car=Car{color='#7a8ce0', vin='WBAEU334X4P114527', company='Mercedes-Benz', model='E-Class', model_year='1995', price=64393.66}, localization=Localization{country='Poland', city='Wojnicz'}, dateTime=2020-01-03T00:00}
Purchase{id_porzadkowe_zakupu=85, person=Person{imie='Cosmo', nazwisko='McOnie', email='cmconie2c@oracle.com', ip='155.69.105.106'}, car=Car{color='#9f9316', vin='JHMFB4F21CS468704', company='Mercedes-Benz', model='SL65 AMG', model_year='2006', price=12734.28}, localization=Localization{country='Czech Republic', city='Heřmanův Městec'}, dateTime=2020-10-25T00:00}
Purchase{id_porzadkowe_zakupu=128, person=Person{imie='Brigida', nazwisko='Keen', email='bkeen3j@networksolutions.com', ip='217.225.65.146'}, car=Car{color='#e739e1', vin='4T1BF3EKXBU205285', company='Mercedes-Benz', model='G-Class', model_year='2005', price=91226.32}, localization=Localization{country='Poland', city='Piaski'}, dateTime=2020-11-07T00:00}
Purchase{id_porzadkowe_zakupu=134, person=Person{imie='Grace', nazwisko='Carr', email='gcarr3p@cam.ac.uk', ip='87.222.37.8'}, car=Car{color='#e5c96c', vin='1C4AJWAG4DL069732', company='Mercedes-Benz', model='C-Class', model_year='2006', price=24707.1}, localization=Localization{country='Poland', city='Bałtów'}, dateTime=2020-10-25T00:00}
Purchase{id_porzadkowe_zakupu=172, person=Person{imie='Bride', nazwisko='Empleton', email='bempleton4r@businessinsider.com', ip='158.253.160.205'}, car=Car{color='#7210c9', vin='2C3CDXCT7CH704409', company='Mercedes-Benz', model='300D', model_year='1992', price=17810.02}, localization=Localization{country='Poland', city='Dąbrowice'}, dateTime=2020-12-09T00:00}
Purchase{id_porzadkowe_zakupu=187, person=Person{imie='Ailey', nazwisko='Usborn', email='ausborn56@deliciousdays.com', ip='147.164.79.146'}, car=Car{color='#1b8856', vin='1FTEW1E8XAF520680', company='Mercedes-Benz', model='M-Class', model_year='2002', price=98107.82}, localization=Localization{country='Poland', city='Kożuchów'}, dateTime=2020-02-06T00:00}
Purchase{id_porzadkowe_zakupu=248, person=Person{imie='Karmen', nazwisko='Murrow', email='kmurrow6v@psu.edu', ip='101.103.206.79'}, car=Car{color='#4f8cbf', vin='5UXFG2C51E0621889', company='Mercedes-Benz', model='C-Class', model_year='2006', price=32785.51}, localization=Localization{country='Poland', city='Regimin'}, dateTime=2020-11-14T00:00}
Purchase{id_porzadkowe_zakupu=294, person=Person{imie='Starlin', nazwisko='Wayvill', email='swayvill85@uol.com.br', ip='49.150.247.241'}, car=Car{color='#7e919e', vin='4JGDA0EB2FA562733', company='Mercedes-Benz', model='SLK-Class', model_year='2012', price=45019.57}, localization=Localization{country='Czech Republic', city='Oldřišov'}, dateTime=2020-09-15T00:00}
