Purchase{id_porzadkowe_zakupu=98, person=Person{imie='Elmo', nazwisko='Bezant', email='ebezant2p@newsvine.com', ip='235.99.242.125'}, car=Car{color='#952399', vin='1FTMF1CW3AF329339', company='Mercury', model='Cougar', model_year='1970', price=88700.15}, localization=Localization{country='Czech Republic', city='Mirošov'}, dateTime=2020-01-04T00:00}
Purchase{id_porzadkowe_zakupu=114, person=Person{imie='Lorenza', nazwisko='Eley', email='leley35@free.fr', ip='91.212.4.150'}, car=Car{color='#64b9b1', vin='1G4PP5SK1F4723682', company='Mercury', model='Tracer', model_year='1991', price=27729.92}, localization=Localization{country='Poland', city='Dębno'}, dateTime=2020-10-15T00:00}
Purchase{id_porzadkowe_zakupu=176, person=Person{imie='Gay', nazwisko='Meeking', email='gmeeking4v@wired.com', ip='79.239.0.249'}, car=Car{color='#ee0712', vin='WAUDF58EX5A224615', company='Mercury', model='Cougar', model_year='2001', price=84681.86}, localization=Localization{country='Poland', city='Działoszyce'}, dateTime=2020-04-25T00:00}
Purchase{id_porzadkowe_zakupu=188, person=Person{imie='Hettie', nazwisko='Swyn', email='hswyn57@engadget.com', ip='189.107.173.220'}, car=Car{color='#43f10e', vin='WA1YD54B14N438089', company='Mercury', model='Mystique', model_year='1999', price=94727.98}, localization=Localization{country='Czech Republic', city='Bohumín'}, dateTime=2020-05-03T00:00}
Purchase{id_porzadkowe_zakupu=201, person=Person{imie='Stillmann', nazwisko='Grazier', email='sgrazier5k@youtube.com', ip='126.104.250.87'}, car=Car{color='#48fda8', vin='2T3BF4DV5BW765482', company='Mercury', model='Villager', model_year='2000', price=64650.99}, localization=Localization{country='Poland', city='Łobez'}, dateTime=2020-09-04T00:00}
Purchase{id_porzadkowe_zakupu=209, person=Person{imie='Emmalynne', nazwisko='Arckoll', email='earckoll5s@networksolutions.com', ip='141.212.255.13'}, car=Car{color='#14fc51', vin='WAUEFAFL2AN732952', company='Mercury', model='Grand Marquis', model_year='1994', price=55536.92}, localization=Localization{country='Poland', city='Wyszków'}, dateTime=2020-04-29T00:00}
Purchase{id_porzadkowe_zakupu=216, person=Person{imie='Dunc', nazwisko='Chrispin', email='dchrispin5z@stanford.edu', ip='243.36.47.188'}, car=Car{color='#1611ef', vin='WAUCFAFR5FA025161', company='Mercury', model='Mountaineer', model_year='2008', price=42602.38}, localization=Localization{country='Czech Republic', city='Hrob'}, dateTime=2020-03-23T00:00}
Purchase{id_porzadkowe_zakupu=217, person=Person{imie='Hardy', nazwisko='Breslane', email='hbreslane60@kickstarter.com', ip='73.191.94.185'}, car=Car{color='#6f2969', vin='3GTU1YEJ4DG749044', company='Mercury', model='Grand Marquis', model_year='1995', price=18317.22}, localization=Localization{country='Poland', city='Jonkowo'}, dateTime=2020-02-16T00:00}
Purchase{id_porzadkowe_zakupu=239, person=Person{imie='Marla', nazwisko='Smallcomb', email='msmallcomb6m@edublogs.org', ip='169.130.72.178'}, car=Car{color='#52db8a', vin='3FAHP0CG8CR001253', company='Mercury', model='Grand Marquis', model_year='2002', price=16508.63}, localization=Localization{country='Czech Republic', city='Jablunkov'}, dateTime=2020-12-06T00:00}
Purchase{id_porzadkowe_zakupu=311, person=Person{imie='Ronni', nazwisko='Nibley', email='rnibley8m@hibu.com', ip='124.9.3.216'}, car=Car{color='#10cae0', vin='3GYFK62878G443953', company='Mercury', model='Milan', model_year='2009', price=63884.95}, localization=Localization{country='Poland', city='Grojec'}, dateTime=2020-01-19T00:00}
Purchase{id_porzadkowe_zakupu=315, person=Person{imie='Hinze', nazwisko='Gorriessen', email='hgorriessen8q@shutterfly.com', ip='38.156.81.87'}, car=Car{color='#dcba80', vin='KNAGM4AD9F5600469', company='Mercury', model='Villager', model_year='2001', price=31679.55}, localization=Localization{country='Poland', city='Siemianowice Śląskie'}, dateTime=2020-07-29T00:00}
Purchase{id_porzadkowe_zakupu=317, person=Person{imie='Khalil', nazwisko='Barwack', email='kbarwack8s@lycos.com', ip='116.51.91.210'}, car=Car{color='#b2b7cc', vin='1GYS4DEF3DR442820', company='Mercury', model='Mariner', model_year='2005', price=51045.02}, localization=Localization{country='Czech Republic', city='Nelahozeves'}, dateTime=2020-02-27T00:00}
Purchase{id_porzadkowe_zakupu=328, person=Person{imie='Elnar', nazwisko='Coltart', email='ecoltart93@nytimes.com', ip='145.206.93.96'}, car=Car{color='#58dff1', vin='JTEBU5JR2B5223875', company='Mercury', model='Mariner', model_year='2008', price=26925.61}, localization=Localization{country='Czech Republic', city='Heřmanův Městec'}, dateTime=2020-10-28T00:00}
Purchase{id_porzadkowe_zakupu=342, person=Person{imie='Alyssa', nazwisko='Clashe', email='aclashe9h@blinklist.com', ip='230.61.62.9'}, car=Car{color='#8a68e6', vin='1G6DH5E50D0785012', company='Mercury', model='Lynx', model_year='1984', price=82170.72}, localization=Localization{country='Poland', city='Ryglice'}, dateTime=2020-03-06T00:00}
Purchase{id_porzadkowe_zakupu=358, person=Person{imie='Olia', nazwisko='Callan', email='ocallan9x@infoseek.co.jp', ip='233.216.233.211'}, car=Car{color='#39ef77', vin='KMHHT6KD9AU835985', company='Mercury', model='Mountaineer', model_year='2009', price=22855.77}, localization=Localization{country='Poland', city='Rozwadza'}, dateTime=2020-10-30T00:00}
Purchase{id_porzadkowe_zakupu=378, person=Person{imie='Deidre', nazwisko='Chazier', email='dchazierah@ustream.tv', ip='136.230.58.76'}, car=Car{color='#3947d1', vin='WBAAV53491F688562', company='Mercury', model='Grand Marquis', model_year='1988', price=28802.63}, localization=Localization{country='Poland', city='Międzyzdroje'}, dateTime=2020-10-16T00:00}
Purchase{id_porzadkowe_zakupu=402, person=Person{imie='Mayer', nazwisko='Lazer', email='mlazerb5@edublogs.org', ip='167.64.141.230'}, car=Car{color='#734860', vin='WP0CA2A86FS611688', company='Mercury', model='Mountaineer', model_year='1997', price=41726.55}, localization=Localization{country='Poland', city='Karnice'}, dateTime=2020-11-07T00:00}
Purchase{id_porzadkowe_zakupu=510, person=Person{imie='Olly', nazwisko='Sheryn', email='osheryne5@zimbio.com', ip='26.43.42.200'}, car=Car{color='#b17c5c', vin='1GKS1AE01BR826492', company='Mercury', model='Sable', model_year='2008', price=88771.17}, localization=Localization{country='Poland', city='Dobczyce'}, dateTime=2020-07-22T00:00}
Purchase{id_porzadkowe_zakupu=526, person=Person{imie='Gabriell', nazwisko='Derr', email='gderrel@de.vu', ip='244.77.221.211'}, car=Car{color='#478496', vin='1FMJK1F54CE291898', company='Mercury', model='Cougar', model_year='2002', price=50675.72}, localization=Localization{country='Poland', city='Drezdenko'}, dateTime=2020-01-10T00:00}
Purchase{id_porzadkowe_zakupu=553, person=Person{imie='Faythe', nazwisko='Shenton', email='fshentonfc@archive.org', ip='140.12.228.183'}, car=Car{color='#07291f', vin='WBASP2C56CC901204', company='Mercury', model='Mariner', model_year='2006', price=53006.62}, localization=Localization{country='Poland', city='Gołkowice'}, dateTime=2020-09-04T00:00}
Purchase{id_porzadkowe_zakupu=563, person=Person{imie='Florinda', nazwisko='Maier', email='fmaierfm@economist.com', ip='147.254.125.182'}, car=Car{color='#d10a8b', vin='1FA6P8AM6F5627941', company='Mercury', model='Sable', model_year='2001', price=37903.44}, localization=Localization{country='Poland', city='Kokotów'}, dateTime=2020-07-13T00:00}
Purchase{id_porzadkowe_zakupu=694, person=Person{imie='Jeannine', nazwisko='Grimbaldeston', email='jgrimbaldestonj9@army.mil', ip='151.193.138.112'}, car=Car{color='#3e9c11', vin='1FTEW1CM8EF381297', company='Mercury', model='Cougar', model_year='1967', price=55346.3}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-05-22T00:00}
Purchase{id_porzadkowe_zakupu=708, person=Person{imie='Nealon', nazwisko='De Gogay', email='ndegogayjn@yelp.com', ip='49.109.86.206'}, car=Car{color='#a8ad35', vin='WAULT58E05A962122', company='Mercury', model='Topaz', model_year='1992', price=88186.7}, localization=Localization{country='Poland', city='Olszówka'}, dateTime=2020-10-15T00:00}
Purchase{id_porzadkowe_zakupu=712, person=Person{imie='Collin', nazwisko='Sollime', email='csollimejr@sciencedirect.com', ip='177.129.229.227'}, car=Car{color='#647785', vin='WBADR634X1G734997', company='Mercury', model='Tracer', model_year='1992', price=29227.96}, localization=Localization{country='Czech Republic', city='Všetaty'}, dateTime=2020-06-23T00:00}
Purchase{id_porzadkowe_zakupu=756, person=Person{imie='Dina', nazwisko='Walkey', email='dwalkeykz@wisc.edu', ip='233.131.26.182'}, car=Car{color='#17dbfd', vin='SCBBR93W88C407550', company='Mercury', model='Grand Marquis', model_year='1992', price=96434.99}, localization=Localization{country='Czech Republic', city='Františkovy Lázně'}, dateTime=2020-04-11T00:00}
