Purchase{id_porzadkowe_zakupu=32, person=Person{imie='Cello', nazwisko='Carroll', email='ccarrollv@spotify.com', ip='213.92.152.33'}, car=Car{color='#e24e3a', vin='JN8AZ1MU6CW935297', company='Mitsubishi', model='Truck', model_year='1987', price=67651.11}, localization=Localization{country='Poland', city='Oborniki Śląskie'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=66, person=Person{imie='Clementius', nazwisko='Naerup', email='cnaerup1t@tuttocitta.it', ip='233.103.63.102'}, car=Car{color='#75bf79', vin='1GYS4JEF2DR071261', company='Mitsubishi', model='3000GT', model_year='1995', price=69929.29}, localization=Localization{country='Czech Republic', city='Krásná Lípa'}, dateTime=2020-01-28T00:00}
Purchase{id_porzadkowe_zakupu=80, person=Person{imie='Chariot', nazwisko='Kops', email='ckops27@mapquest.com', ip='126.25.65.87'}, car=Car{color='#93601f', vin='WBAFR1C55BC272071', company='Mitsubishi', model='Montero', model_year='2001', price=19694.43}, localization=Localization{country='Poland', city='Ścinawa'}, dateTime=2020-06-06T00:00}
Purchase{id_porzadkowe_zakupu=124, person=Person{imie='Maxine', nazwisko='Sleath', email='msleath3f@gmpg.org', ip='191.46.219.106'}, car=Car{color='#3424eb', vin='WA1LGAFE5ED933548', company='Mitsubishi', model='Raider', model_year='2006', price=67799.88}, localization=Localization{country='Poland', city='Skoczów'}, dateTime=2020-07-22T00:00}
Purchase{id_porzadkowe_zakupu=149, person=Person{imie='Julee', nazwisko='Gough', email='jgough44@ebay.co.uk', ip='18.43.22.229'}, car=Car{color='#87aa7a', vin='5TFBW5F13CX770970', company='Mitsubishi', model='Outlander', model_year='2012', price=20062.34}, localization=Localization{country='Poland', city='Wąsosz'}, dateTime=2020-10-14T00:00}
Purchase{id_porzadkowe_zakupu=185, person=Person{imie='Melinde', nazwisko='Grimsdike', email='mgrimsdike54@about.com', ip='178.79.124.46'}, car=Car{color='#0543fc', vin='1FTEX1C80AF812466', company='Mitsubishi', model='Endeavor', model_year='2006', price=91031.36}, localization=Localization{country='Poland', city='Jawornik Polski'}, dateTime=2020-08-19T00:00}
Purchase{id_porzadkowe_zakupu=236, person=Person{imie='Fidela', nazwisko='Morot', email='fmorot6j@sphinn.com', ip='182.65.149.159'}, car=Car{color='#033a8d', vin='JTHKD5BH5E2436995', company='Mitsubishi', model='Endeavor', model_year='2010', price=13604.86}, localization=Localization{country='Czech Republic', city='Bohutín'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=272, person=Person{imie='Gregory', nazwisko='Farmiloe', email='gfarmiloe7j@myspace.com', ip='35.7.201.117'}, car=Car{color='#56b2f6', vin='1GYEE23A290317227', company='Mitsubishi', model='Mirage', model_year='1985', price=68946.01}, localization=Localization{country='Czech Republic', city='Lysice'}, dateTime=2020-02-25T00:00}
Purchase{id_porzadkowe_zakupu=277, person=Person{imie='Burty', nazwisko='Rowswell', email='browswell7o@aboutads.info', ip='76.225.67.25'}, car=Car{color='#1a1d90', vin='1GYS4GEF6BR688291', company='Mitsubishi', model='Mirage', model_year='1989', price=30618.2}, localization=Localization{country='Poland', city='Golina'}, dateTime=2020-12-15T00:00}
Purchase{id_porzadkowe_zakupu=281, person=Person{imie='Forbes', nazwisko='Haliburn', email='fhaliburn7s@icq.com', ip='30.109.153.66'}, car=Car{color='#fe6e3c', vin='WAUVT58E75A797369', company='Mitsubishi', model='Montero', model_year='2005', price=19069.7}, localization=Localization{country='Poland', city='Zagórnik'}, dateTime=2020-09-27T00:00}
Purchase{id_porzadkowe_zakupu=340, person=Person{imie='Berny', nazwisko='Jereatt', email='bjereatt9f@php.net', ip='80.188.172.239'}, car=Car{color='#afda2e', vin='SCBLF44J39C915414', company='Mitsubishi', model='Lancer', model_year='2004', price=48645.33}, localization=Localization{country='Poland', city='Kobylanka'}, dateTime=2020-03-09T00:00}
