Purchase{id_porzadkowe_zakupu=76, person=Person{imie='Ben', nazwisko='Yarwood', email='byarwood23@creativecommons.org', ip='118.169.87.59'}, car=Car{color='#ff6af6', vin='WBA6B4C59DD511334', company='Nissan', model='300ZX', model_year='1991', price=12845.04}, localization=Localization{country='Poland', city='Borzęcin'}, dateTime=2020-10-02T00:00}
Purchase{id_porzadkowe_zakupu=82, person=Person{imie='Carlina', nazwisko='Sharma', email='csharma29@wsj.com', ip='22.97.208.15'}, car=Car{color='#744ef6', vin='WAUJT68EX2A966932', company='Nissan', model='Altima', model_year='2003', price=36066.5}, localization=Localization{country='Poland', city='Łapanów'}, dateTime=2020-02-16T00:00}
Purchase{id_porzadkowe_zakupu=106, person=Person{imie='Chelsey', nazwisko='Kreuzer', email='ckreuzer2x@lycos.com', ip='230.41.160.252'}, car=Car{color='#f22c72', vin='WVGEF9BP4FD544582', company='Nissan', model='Titan', model_year='2012', price=18572.45}, localization=Localization{country='Czech Republic', city='Čáslav'}, dateTime=2020-04-07T00:00}
Purchase{id_porzadkowe_zakupu=122, person=Person{imie='Enos', nazwisko='Kimmons', email='ekimmons3d@netscape.com', ip='97.146.236.243'}, car=Car{color='#80f590', vin='WDDHF5KB9EA860967', company='Nissan', model='Sentra', model_year='2002', price=9821.53}, localization=Localization{country='Germany', city='Erfurt'}, dateTime=2020-06-17T00:00}
Purchase{id_porzadkowe_zakupu=133, person=Person{imie='Mauricio', nazwisko='Berzin', email='mberzin3o@wired.com', ip='208.131.181.172'}, car=Car{color='#3fa88c', vin='WAUUL78E48A965531', company='Nissan', model='Cube', model_year='2012', price=53525.58}, localization=Localization{country='Germany', city='Chemnitz'}, dateTime=2020-03-02T00:00}
Purchase{id_porzadkowe_zakupu=146, person=Person{imie='Penny', nazwisko='Litzmann', email='plitzmann41@mapy.cz', ip='8.218.144.184'}, car=Car{color='#16d952', vin='WAUDFAFL3AA370858', company='Nissan', model='Armada', model_year='2008', price=89173.53}, localization=Localization{country='Poland', city='Stoszowice'}, dateTime=2020-10-02T00:00}
Purchase{id_porzadkowe_zakupu=159, person=Person{imie='Kata', nazwisko='de Glanville', email='kdeglanville4e@jalbum.net', ip='217.141.29.71'}, car=Car{color='#68a98f', vin='1GTC5LF9XC8889885', company='Nissan', model='Rogue', model_year='2010', price=45315.63}, localization=Localization{country='Denmark', city='København'}, dateTime=2020-08-17T00:00}
Purchase{id_porzadkowe_zakupu=198, person=Person{imie='Deeann', nazwisko='Hruska', email='dhruska5h@epa.gov', ip='3.15.40.200'}, car=Car{color='#7887f1', vin='2C3CDYBT0EH160216', company='Nissan', model='Sentra', model_year='2009', price=5011.93}, localization=Localization{country='Poland', city='Strachówka'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=219, person=Person{imie='Julita', nazwisko='Davydochkin', email='jdavydochkin62@cnn.com', ip='94.8.177.218'}, car=Car{color='#cea04a', vin='WDDHF0EB5EB909249', company='Nissan', model='Sentra', model_year='2005', price=80813.75}, localization=Localization{country='Germany', city='Leipzig'}, dateTime=2020-12-29T00:00}
Purchase{id_porzadkowe_zakupu=246, person=Person{imie='Emyle', nazwisko='Tathacott', email='etathacott6t@studiopress.com', ip='90.189.143.41'}, car=Car{color='#8aa2ef', vin='WAUKFAFL2DA494969', company='Nissan', model='Maxima', model_year='2000', price=49132.44}, localization=Localization{country='Poland', city='Markowa'}, dateTime=2020-10-10T00:00}
Purchase{id_porzadkowe_zakupu=290, person=Person{imie='Yule', nazwisko='Woodier', email='ywoodier81@gizmodo.com', ip='181.230.26.68'}, car=Car{color='#e71412', vin='WDDLJ6FB1FA422065', company='Nissan', model='Versa', model_year='2009', price=91895.71}, localization=Localization{country='Poland', city='Bieliny'}, dateTime=2020-07-13T00:00}
Purchase{id_porzadkowe_zakupu=396, person=Person{imie='Mic', nazwisko='Musker', email='mmuskeraz@friendfeed.com', ip='251.130.189.20'}, car=Car{color='#1edf4b', vin='4T1BD1FK6CU327572', company='Nissan', model='Quest', model_year='1997', price=14566.11}, localization=Localization{country='Poland', city='Dolsk'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=416, person=Person{imie='Jennette', nazwisko='Agnew', email='jagnewbj@epa.gov', ip='241.201.207.109'}, car=Car{color='#10b773', vin='1N6BF0KX3FN272455', company='Nissan', model='Pathfinder', model_year='1998', price=82779.06}, localization=Localization{country='Czech Republic', city='Hostavice'}, dateTime=2020-12-16T00:00}
Purchase{id_porzadkowe_zakupu=418, person=Person{imie='Silvan', nazwisko='Gearing', email='sgearingbl@desdev.cn', ip='142.115.61.196'}, car=Car{color='#deee1b', vin='WDDEJ7GB4AA134398', company='Nissan', model='Altima', model_year='1996', price=21401.25}, localization=Localization{country='Poland', city='Raciąż'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=505, person=Person{imie='Raddy', nazwisko='Gerrelt', email='rgerrelte0@addtoany.com', ip='109.175.0.64'}, car=Car{color='#96317d', vin='WBA1F5C56FV607357', company='Nissan', model='Xterra', model_year='2002', price=83887.99}, localization=Localization{country='Poland', city='Działdowo'}, dateTime=2020-07-06T00:00}
