Purchase{id_porzadkowe_zakupu=241, person=Person{imie='Jayson', nazwisko='Brodie', email='jbrodie6o@theguardian.com', ip='199.255.176.103'}, car=Car{color='#1991a7', vin='2FMGK5B81DB281456', company='Oldsmobile', model='Cutlass Supreme', model_year='1993', price=40700.58}, localization=Localization{country='Poland', city='Targanice'}, dateTime=2020-05-27T00:00}
Purchase{id_porzadkowe_zakupu=291, person=Person{imie='Marta', nazwisko='Lushey', email='mlushey82@msn.com', ip='249.144.185.35'}, car=Car{color='#a24ff9', vin='SCBGU3ZA6DC852294', company='Oldsmobile', model='Alero', model_year='2003', price=19600.82}, localization=Localization{country='Poland', city='Czarna Białostocka'}, dateTime=2020-02-26T00:00}
Purchase{id_porzadkowe_zakupu=339, person=Person{imie='Salomi', nazwisko='Hatterslay', email='shatterslay9e@wp.com', ip='220.101.47.247'}, car=Car{color='#283f29', vin='JN1AJ0HP3CM621686', company='Oldsmobile', model='Intrigue', model_year='2002', price=44180.49}, localization=Localization{country='Poland', city='Kościelec'}, dateTime=2020-10-21T00:00}
Purchase{id_porzadkowe_zakupu=445, person=Person{imie='Mandy', nazwisko='Vockins', email='mvockinscc@accuweather.com', ip='191.72.51.194'}, car=Car{color='#2bbe8a', vin='WAUYP54B51N511003', company='Oldsmobile', model='Silhouette', model_year='1999', price=13640.67}, localization=Localization{country='Czech Republic', city='Staré Město'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=486, person=Person{imie='Zara', nazwisko='Laboune', email='zlabounedh@163.com', ip='11.32.103.49'}, car=Car{color='#b7a3f2', vin='YV4940BZ4E1396231', company='Oldsmobile', model='Silhouette', model_year='1994', price=31020.67}, localization=Localization{country='Czech Republic', city='Horní Bečva'}, dateTime=2020-06-29T00:00}
Purchase{id_porzadkowe_zakupu=577, person=Person{imie='Donn', nazwisko='Mayall', email='dmayallg0@youtu.be', ip='184.114.66.129'}, car=Car{color='#3b59b0', vin='WVWED7AJ0BW841410', company='Oldsmobile', model='Silhouette', model_year='1992', price=41257.28}, localization=Localization{country='Germany', city='Berlin'}, dateTime=2020-04-27T00:00}
Purchase{id_porzadkowe_zakupu=619, person=Person{imie='Salomo', nazwisko='Bolan', email='sbolanh6@businessweek.com', ip='61.146.197.221'}, car=Car{color='#ecb418', vin='3MZBM1L76EM215606', company='Oldsmobile', model='Achieva', model_year='1995', price=28345.66}, localization=Localization{country='Poland', city='Szczawnica'}, dateTime=2020-05-18T00:00}
Purchase{id_porzadkowe_zakupu=654, person=Person{imie='Tobye', nazwisko='Coleman', email='tcolemani5@reverbnation.com', ip='124.250.73.38'}, car=Car{color='#fed5af', vin='YV140MEA1F1071148', company='Oldsmobile', model='Intrigue', model_year='2000', price=60617.56}, localization=Localization{country='Czech Republic', city='Toužim'}, dateTime=2020-12-23T00:00}
Purchase{id_porzadkowe_zakupu=766, person=Person{imie='Ashlin', nazwisko='Nagle', email='anaglel9@facebook.com', ip='15.150.23.198'}, car=Car{color='#d03493', vin='JH4DC53053C259280', company='Oldsmobile', model='Bravada', model_year='1997', price=99984.84}, localization=Localization{country='Poland', city='Osielsko'}, dateTime=2020-02-29T00:00}
Purchase{id_porzadkowe_zakupu=787, person=Person{imie='Willamina', nazwisko='Heintze', email='wheintzelu@newsvine.com', ip='53.240.147.7'}, car=Car{color='#21d18c', vin='WBASP4C56AC472252', company='Oldsmobile', model='Achieva', model_year='1995', price=27473.11}, localization=Localization{country='Poland', city='Śniadowo'}, dateTime=2020-11-08T00:00}
Purchase{id_porzadkowe_zakupu=798, person=Person{imie='Karlis', nazwisko='Pryor', email='kpryorm5@seesaa.net', ip='144.142.151.229'}, car=Car{color='#0f8702', vin='1FMJK1H59BE663960', company='Oldsmobile', model='Cutlass Supreme', model_year='1997', price=91265.88}, localization=Localization{country='Poland', city='Sokółka'}, dateTime=2020-07-14T00:00}
Purchase{id_porzadkowe_zakupu=934, person=Person{imie='Golda', nazwisko='Studdal', email='gstuddalpx@epa.gov', ip='109.155.157.193'}, car=Car{color='#9ccbb2', vin='3C4PDDGGXFT647756', company='Oldsmobile', model='Intrigue', model_year='1998', price=18210.02}, localization=Localization{country='Poland', city='Lipiany'}, dateTime=2020-03-26T00:00}
