Purchase{id_porzadkowe_zakupu=29, person=Person{imie='Sacha', nazwisko='Lamport', email='slamports@psu.edu', ip='134.108.190.141'}, car=Car{color='#cc8cd1', vin='YV1952AS8D1054810', company='Pontiac', model='Solstice', model_year='2006', price=20647.67}, localization=Localization{country='Czech Republic', city='Vidče'}, dateTime=2020-05-14T00:00}
Purchase{id_porzadkowe_zakupu=45, person=Person{imie='Ilene', nazwisko='Langran', email='ilangran18@ft.com', ip='77.127.130.137'}, car=Car{color='#f1013b', vin='5GAER13718J360654', company='Pontiac', model='G6', model_year='2006', price=94006.99}, localization=Localization{country='Poland', city='Łękawica'}, dateTime=2020-08-23T00:00}
Purchase{id_porzadkowe_zakupu=65, person=Person{imie='Phoebe', nazwisko='Hartford', email='phartford1s@unc.edu', ip='112.201.154.129'}, car=Car{color='#8c0d54', vin='2HNYD2H28CH766206', company='Pontiac', model='Sunbird', model_year='1986', price=45933.12}, localization=Localization{country='Czech Republic', city='Mohelnice'}, dateTime=2020-12-18T00:00}
Purchase{id_porzadkowe_zakupu=100, person=Person{imie='Nicolea', nazwisko='Dench', email='ndench2r@hatena.ne.jp', ip='220.122.165.85'}, car=Car{color='#555d0f', vin='JN8AZ2KR7DT737349', company='Pontiac', model='Grand Prix', model_year='1990', price=31841.04}, localization=Localization{country='Poland', city='Górzno'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=108, person=Person{imie='Bell', nazwisko='Pacitti', email='bpacitti2z@europa.eu', ip='146.21.20.84'}, car=Car{color='#d0460c', vin='3VW8S7AT9FM161500', company='Pontiac', model='Grand Prix', model_year='1999', price=94817.43}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-10-09T00:00}
Purchase{id_porzadkowe_zakupu=142, person=Person{imie='Rayshell', nazwisko='Seward', email='rseward3x@1688.com', ip='253.230.99.34'}, car=Car{color='#af5ca3', vin='1FTEW1CM8EF791159', company='Pontiac', model='6000', model_year='1988', price=5256.21}, localization=Localization{country='Poland', city='Kaliska'}, dateTime=2020-04-26T00:00}
Purchase{id_porzadkowe_zakupu=158, person=Person{imie='Germain', nazwisko='Burgott', email='gburgott4d@e-recht24.de', ip='106.147.254.11'}, car=Car{color='#7c4f2f', vin='1G6DH8E57D0261969', company='Pontiac', model='Grand Prix', model_year='2001', price=36634.65}, localization=Localization{country='Czech Republic', city='Jablonec nad Jizerou'}, dateTime=2020-07-11T00:00}
Purchase{id_porzadkowe_zakupu=175, person=Person{imie='Kyla', nazwisko='Aymes', email='kaymes4u@deviantart.com', ip='178.29.93.211'}, car=Car{color='#b67167', vin='1G6DK8E34D0341830', company='Pontiac', model='Bonneville', model_year='1967', price=5965.18}, localization=Localization{country='Czech Republic', city='Vlkoš'}, dateTime=2020-08-13T00:00}
Purchase{id_porzadkowe_zakupu=211, person=Person{imie='Lazare', nazwisko='Wombwell', email='lwombwell5u@archive.org', ip='150.147.244.111'}, car=Car{color='#beaaba', vin='3D7JV1EP8AG307355', company='Pontiac', model='Daewoo Kalos', model_year='2006', price=87202.11}, localization=Localization{country='Poland', city='Bodzechów'}, dateTime=2020-09-07T00:00}
Purchase{id_porzadkowe_zakupu=234, person=Person{imie='Forrest', nazwisko='Everill', email='feverill6h@toplist.cz', ip='99.117.218.57'}, car=Car{color='#e169a3', vin='YV126MFC8F1264760', company='Pontiac', model='Sunbird', model_year='1986', price=73973.16}, localization=Localization{country='Czech Republic', city='Drásov'}, dateTime=2020-04-27T00:00}
Purchase{id_porzadkowe_zakupu=276, person=Person{imie='Lambert', nazwisko='Aughtie', email='laughtie7n@theglobeandmail.com', ip='160.2.55.235'}, car=Car{color='#c6448a', vin='WBALZ3C58CC247701', company='Pontiac', model='1000', model_year='1984', price=84056.46}, localization=Localization{country='Poland', city='Kurzętnik'}, dateTime=2020-04-07T00:00}
Purchase{id_porzadkowe_zakupu=306, person=Person{imie='Corey', nazwisko='Bulcock', email='cbulcock8h@i2i.jp', ip='83.150.58.81'}, car=Car{color='#d37434', vin='WA1YD64B05N188948', company='Pontiac', model='Bonneville', model_year='1964', price=73227.73}, localization=Localization{country='Poland', city='Sośnie'}, dateTime=2020-06-26T00:00}
Purchase{id_porzadkowe_zakupu=333, person=Person{imie='Curt', nazwisko='Billie', email='cbillie98@blogger.com', ip='250.19.215.70'}, car=Car{color='#cd2e07', vin='JH4CU25649C906270', company='Pontiac', model='G8', model_year='2008', price=1514.04}, localization=Localization{country='Poland', city='Mniszków'}, dateTime=2020-08-12T00:00}
Purchase{id_porzadkowe_zakupu=379, person=Person{imie='Danie', nazwisko='Coney', email='dconeyai@si.edu', ip='242.228.214.5'}, car=Car{color='#3df28c', vin='SCBBR9ZA6BC727596', company='Pontiac', model='Grand Prix', model_year='1991', price=66983.14}, localization=Localization{country='Czech Republic', city='Dolní Cerekev'}, dateTime=2020-06-18T00:00}
Purchase{id_porzadkowe_zakupu=382, person=Person{imie='Clerkclaude', nazwisko='Gilliland', email='cgillilandal@123-reg.co.uk', ip='22.20.180.179'}, car=Car{color='#dac840', vin='WUATNAFGXBN933552', company='Pontiac', model='G8', model_year='2008', price=43318.68}, localization=Localization{country='Poland', city='Chrząstowice'}, dateTime=2020-11-13T00:00}
Purchase{id_porzadkowe_zakupu=428, person=Person{imie='Iggie', nazwisko='Adame', email='iadamebv@bing.com', ip='13.35.45.112'}, car=Car{color='#30cddb', vin='WAUJF98K29N059934', company='Pontiac', model='LeMans', model_year='1989', price=60284.14}, localization=Localization{country='Czech Republic', city='Petřvald'}, dateTime=2020-02-03T00:00}
Purchase{id_porzadkowe_zakupu=464, person=Person{imie='Krystle', nazwisko='Prendeville', email='kprendevillecv@epa.gov', ip='247.40.183.193'}, car=Car{color='#7ee9ff', vin='1GD020CG3DZ842010', company='Pontiac', model='Bonneville', model_year='1986', price=79501.76}, localization=Localization{country='Poland', city='Widuchowa'}, dateTime=2020-05-12T00:00}
Purchase{id_porzadkowe_zakupu=495, person=Person{imie='Clevie', nazwisko='Bussey', email='cbusseydq@hhs.gov', ip='215.240.107.38'}, car=Car{color='#803171', vin='1ZVBP8AN1A5526121', company='Pontiac', model='Sunbird', model_year='1985', price=88574.1}, localization=Localization{country='Poland', city='Częstochowa'}, dateTime=2020-09-14T00:00}
Purchase{id_porzadkowe_zakupu=500, person=Person{imie='Pammy', nazwisko='Unwin', email='punwindv@quantcast.com', ip='183.158.192.201'}, car=Car{color='#f7f4a7', vin='JN8AZ1MU4DW418579', company='Pontiac', model='LeMans', model_year='1968', price=88662.66}, localization=Localization{country='Poland', city='Nidek'}, dateTime=2020-12-16T00:00}
