Purchase{id_porzadkowe_zakupu=164, person=Person{imie='Hettie', nazwisko='Grills', email='hgrills4j@businessinsider.com', ip='217.28.65.68'}, car=Car{color='#ad07b6', vin='1C3BCBFG1CN358350', company='Porsche', model='924 S', model_year='1987', price=96664.65}, localization=Localization{country='Poland', city='Paradyż'}, dateTime=2020-12-16T00:00}
Purchase{id_porzadkowe_zakupu=171, person=Person{imie='Chelsae', nazwisko='Flather', email='cflather4q@merriam-webster.com', ip='50.80.35.155'}, car=Car{color='#0ebf5e', vin='1GKS2GEJ8CR620290', company='Porsche', model='911', model_year='2012', price=15405.22}, localization=Localization{country='Czech Republic', city='Višňové'}, dateTime=2020-12-04T00:00}
Purchase{id_porzadkowe_zakupu=258, person=Person{imie='Twyla', nazwisko='Dougary', email='tdougary75@mapquest.com', ip='148.74.195.8'}, car=Car{color='#069a71', vin='ZFBCFABH5FZ754958', company='Porsche', model='911', model_year='2013', price=89132.44}, localization=Localization{country='Poland', city='Malanów'}, dateTime=2020-01-25T00:00}
Purchase{id_porzadkowe_zakupu=572, person=Person{imie='Antonius', nazwisko='Whibley', email='awhibleyfv@about.com', ip='133.222.186.221'}, car=Car{color='#b02d9c', vin='JN1AY1AP4BM053118', company='Porsche', model='Boxster', model_year='1998', price=59274.97}, localization=Localization{country='Poland', city='Jednorożec'}, dateTime=2020-10-15T00:00}
Purchase{id_porzadkowe_zakupu=599, person=Person{imie='Kippy', nazwisko='Schermick', email='kschermickgm@paypal.com', ip='106.225.188.88'}, car=Car{color='#55569e', vin='WAUVC58E03A629585', company='Porsche', model='Cayenne', model_year='2011', price=99706.01}, localization=Localization{country='Czech Republic', city='Trmice'}, dateTime=2020-08-23T00:00}
Purchase{id_porzadkowe_zakupu=696, person=Person{imie='Solomon', nazwisko='Haitlie', email='shaitliejb@51.la', ip='84.126.18.51'}, car=Car{color='#f8a602', vin='1D7RV1CP3BS521993', company='Porsche', model='911', model_year='1999', price=32261.25}, localization=Localization{country='Czech Republic', city='Cheb'}, dateTime=2020-09-24T00:00}
Purchase{id_porzadkowe_zakupu=786, person=Person{imie='Gabbie', nazwisko='Swidenbank', email='gswidenbanklt@deviantart.com', ip='7.91.176.191'}, car=Car{color='#cced5e', vin='2G4WD582871982579', company='Porsche', model='911', model_year='2012', price=96690.5}, localization=Localization{country='Poland', city='Żółkiewka'}, dateTime=2020-11-23T00:00}
Purchase{id_porzadkowe_zakupu=822, person=Person{imie='Lane', nazwisko='Bewlie', email='lbewliemt@a8.net', ip='42.92.90.156'}, car=Car{color='#27f800', vin='WBALY1C57ED761088', company='Porsche', model='Boxster', model_year='2001', price=53675.87}, localization=Localization{country='Poland', city='Kamieniec'}, dateTime=2020-10-04T00:00}
Purchase{id_porzadkowe_zakupu=851, person=Person{imie='Susan', nazwisko='Labbet', email='slabbetnm@e-recht24.de', ip='144.230.120.154'}, car=Car{color='#b5b151', vin='5TDDW5G19FS981723', company='Porsche', model='911', model_year='1988', price=42587.96}, localization=Localization{country='Poland', city='Polanka Wielka'}, dateTime=2020-11-05T00:00}
Purchase{id_porzadkowe_zakupu=892, person=Person{imie='Aldin', nazwisko='Rosengart', email='arosengartor@bandcamp.com', ip='194.220.244.32'}, car=Car{color='#1a6ccd', vin='JN1AZ4EH8BM271032', company='Porsche', model='911', model_year='1997', price=24654.89}, localization=Localization{country='Poland', city='Warlubie'}, dateTime=2020-09-23T00:00}
Purchase{id_porzadkowe_zakupu=896, person=Person{imie='Kevon', nazwisko='Gobbet', email='kgobbetov@toplist.cz', ip='129.176.192.187'}, car=Car{color='#f6a6dc', vin='WAUGFAFR3EA966186', company='Porsche', model='Cayenne', model_year='2010', price=22476.31}, localization=Localization{country='Poland', city='Reda'}, dateTime=2020-03-13T00:00}
Purchase{id_porzadkowe_zakupu=949, person=Person{imie='Christal', nazwisko='Beardsdale', email='cbeardsdaleqc@moonfruit.com', ip='217.219.117.226'}, car=Car{color='#3c8f14', vin='1N6AA0EK2FN082804', company='Porsche', model='911', model_year='1989', price=89243.32}, localization=Localization{country='Poland', city='Łobez'}, dateTime=2020-07-05T00:00}
