Purchase{id_porzadkowe_zakupu=73, person=Person{imie='Shaylyn', nazwisko='Jupe', email='sjupe20@yellowbook.com', ip='218.135.112.193'}, car=Car{color='#9e9218', vin='WAUKF98E57A836352', company='Subaru', model='Forester', model_year='2012', price=72205.0}, localization=Localization{country='Poland', city='Żurowa'}, dateTime=2020-05-29T00:00}
Purchase{id_porzadkowe_zakupu=78, person=Person{imie='Albie', nazwisko='Fleischer', email='afleischer25@1688.com', ip='219.54.5.86'}, car=Car{color='#2019ca', vin='4A4AP3AU8DE558800', company='Subaru', model='Legacy', model_year='2005', price=84470.36}, localization=Localization{country='Czech Republic', city='Veltruby'}, dateTime=2020-01-11T00:00}
Purchase{id_porzadkowe_zakupu=144, person=Person{imie='Helaina', nazwisko='Ricarde', email='hricarde3z@diigo.com', ip='10.103.101.175'}, car=Car{color='#98f6de', vin='KNADH4A35B6864470', company='Subaru', model='Leone', model_year='1989', price=61810.51}, localization=Localization{country='Poland', city='Rusocice'}, dateTime=2020-11-20T00:00}
Purchase{id_porzadkowe_zakupu=231, person=Person{imie='Marchall', nazwisko='Goldsberry', email='mgoldsberry6e@clickbank.net', ip='153.35.46.255'}, car=Car{color='#c13843', vin='1GKS1HE00DR398104', company='Subaru', model='Justy', model_year='1990', price=82502.6}, localization=Localization{country='Poland', city='Paprotnia'}, dateTime=2020-06-23T00:00}
Purchase{id_porzadkowe_zakupu=254, person=Person{imie='Chrisy', nazwisko='Puffett', email='cpuffett71@arstechnica.com', ip='251.34.85.23'}, car=Car{color='#1a0157', vin='1N6AA0EC6DN489739', company='Subaru', model='Legacy', model_year='2004', price=84340.16}, localization=Localization{country='Poland', city='Świeradów-Zdrój'}, dateTime=2020-03-18T00:00}
Purchase{id_porzadkowe_zakupu=287, person=Person{imie='Granville', nazwisko='Deniske', email='gdeniske7y@google.de', ip='131.148.14.80'}, car=Car{color='#6e9c71', vin='SCFFBCCD9BG210130', company='Subaru', model='SVX', model_year='1997', price=96360.87}, localization=Localization{country='Czech Republic', city='Horní Jiřetín'}, dateTime=2020-07-22T00:00}
Purchase{id_porzadkowe_zakupu=318, person=Person{imie='Bendix', nazwisko='De Morena', email='bdemorena8t@deviantart.com', ip='190.2.24.213'}, car=Car{color='#90e00e', vin='WBSPM93579E089279', company='Subaru', model='Tribeca', model_year='2008', price=51935.34}, localization=Localization{country='Poland', city='Zator'}, dateTime=2020-04-04T00:00}
Purchase{id_porzadkowe_zakupu=497, person=Person{imie='Jecho', nazwisko='Booth', email='jboothds@boston.com', ip='170.86.23.130'}, car=Car{color='#55515e', vin='1FM5K7B84FG098521', company='Subaru', model='Justy', model_year='1993', price=15384.23}, localization=Localization{country='Poland', city='Twardawa'}, dateTime=2020-01-14T00:00}
Purchase{id_porzadkowe_zakupu=547, person=Person{imie='Aguste', nazwisko='Peagram', email='apeagramf6@lycos.com', ip='10.160.170.234'}, car=Car{color='#935b01', vin='1GYS4FEJ4DR413164', company='Subaru', model='Outback', model_year='2003', price=37162.04}, localization=Localization{country='Poland', city='Bałtów'}, dateTime=2020-05-24T00:00}
Purchase{id_porzadkowe_zakupu=549, person=Person{imie='Craig', nazwisko='Hulbert', email='chulbertf8@macromedia.com', ip='164.161.88.123'}, car=Car{color='#cfc789', vin='WAUMGBFL9DA137767', company='Subaru', model='Loyale', model_year='1992', price=43850.02}, localization=Localization{country='Poland', city='Klwów'}, dateTime=2020-05-15T00:00}
Purchase{id_porzadkowe_zakupu=561, person=Person{imie='Vida', nazwisko='Edmondson', email='vedmondsonfk@rediff.com', ip='35.83.237.87'}, car=Car{color='#3265ac', vin='WAUKF78E18A879883', company='Subaru', model='Forester', model_year='2010', price=93179.89}, localization=Localization{country='Germany', city='Hanau'}, dateTime=2020-02-08T00:00}
Purchase{id_porzadkowe_zakupu=582, person=Person{imie='Padraig', nazwisko='Porritt', email='pporrittg5@livejournal.com', ip='238.12.135.122'}, car=Car{color='#0e06db', vin='3VWKX7AJ8AM222365', company='Subaru', model='Justy', model_year='1988', price=38207.69}, localization=Localization{country='Czech Republic', city='Sokolnice'}, dateTime=2020-03-12T00:00}
Purchase{id_porzadkowe_zakupu=670, person=Person{imie='Edeline', nazwisko='Burkill', email='eburkillil@wufoo.com', ip='98.180.20.157'}, car=Car{color='#09d32a', vin='JH4DC53863S360131', company='Subaru', model='Legacy', model_year='2012', price=25586.33}, localization=Localization{country='Czech Republic', city='Starý Bohumín'}, dateTime=2020-01-22T00:00}
Purchase{id_porzadkowe_zakupu=726, person=Person{imie='Malory', nazwisko='McHaffy', email='mmchaffyk5@google.com.br', ip='107.82.158.90'}, car=Car{color='#d6c40f', vin='1D4PT6GX9AW071839', company='Subaru', model='Forester', model_year='1999', price=78481.71}, localization=Localization{country='Poland', city='Zabłocie'}, dateTime=2020-07-27T00:00}
Purchase{id_porzadkowe_zakupu=905, person=Person{imie='Guido', nazwisko='Meneyer', email='gmeneyerp4@ucsd.edu', ip='31.211.100.115'}, car=Car{color='#a8898f', vin='1G6DP5E39C0203022', company='Subaru', model='Outback', model_year='2009', price=72940.96}, localization=Localization{country='Czech Republic', city='Valdice'}, dateTime=2020-07-08T00:00}
