Purchase{id_porzadkowe_zakupu=16, person=Person{imie='Wolf', nazwisko='Couroy', email='wcouroyf@dot.gov', ip='204.180.151.24'}, car=Car{color='#87b060', vin='WBAAZ33415K216099', company='Toyota', model='T100 Xtra', model_year='1995', price=83465.1}, localization=Localization{country='Poland', city='Smolec'}, dateTime=2020-05-27T00:00}
Purchase{id_porzadkowe_zakupu=23, person=Person{imie='Standford', nazwisko='McBayne', email='smcbaynem@topsy.com', ip='219.138.159.166'}, car=Car{color='#5d3d15', vin='2D4RN7DG9BR523778', company='Toyota', model='4Runner', model_year='1997', price=44024.02}, localization=Localization{country='Czech Republic', city='Chyňava'}, dateTime=2020-10-20T00:00}
Purchase{id_porzadkowe_zakupu=64, person=Person{imie='Roseline', nazwisko='Francescuccio', email='rfrancescuccio1r@economist.com', ip='252.22.214.206'}, car=Car{color='#fe13d7', vin='SCBCR73W99C041320', company='Toyota', model='T100', model_year='1996', price=56891.24}, localization=Localization{country='Poland', city='Ręczno'}, dateTime=2020-02-29T00:00}
Purchase{id_porzadkowe_zakupu=93, person=Person{imie='Jake', nazwisko='Wedge', email='jwedge2k@studiopress.com', ip='143.113.58.136'}, car=Car{color='#a49a39', vin='19UUB3F71FA807150', company='Toyota', model='Camry', model_year='2010', price=70473.21}, localization=Localization{country='Czech Republic', city='Zvole'}, dateTime=2020-09-08T00:00}
Purchase{id_porzadkowe_zakupu=103, person=Person{imie='Nathaniel', nazwisko='Bunney', email='nbunney2u@qq.com', ip='183.181.78.22'}, car=Car{color='#5e30cf', vin='WBANB33575B546408', company='Toyota', model='Sequoia', model_year='2012', price=2401.63}, localization=Localization{country='Poland', city='Polanka Wielka'}, dateTime=2020-02-26T00:00}
Purchase{id_porzadkowe_zakupu=105, person=Person{imie='Sadie', nazwisko='Lineham', email='slineham2w@nasa.gov', ip='33.94.149.8'}, car=Car{color='#bdf7a6', vin='WAUVFAFR5CA695605', company='Toyota', model='Previa', model_year='1997', price=75874.85}, localization=Localization{country='Czech Republic', city='Nové Město pod Smrkem'}, dateTime=2020-05-24T00:00}
Purchase{id_porzadkowe_zakupu=118, person=Person{imie='Terry', nazwisko='Necolds', email='tnecolds39@bandcamp.com', ip='127.79.6.232'}, car=Car{color='#06894a', vin='1FTMF1CW5AK981046', company='Toyota', model='Avalon', model_year='1998', price=70333.33}, localization=Localization{country='Czech Republic', city='Železný Brod'}, dateTime=2020-12-01T00:00}
Purchase{id_porzadkowe_zakupu=135, person=Person{imie='Austine', nazwisko='Owttrim', email='aowttrim3q@canalblog.com', ip='159.241.46.182'}, car=Car{color='#12ab72', vin='3D7TT2CT0AG015316', company='Toyota', model='Highlander', model_year='2004', price=80403.95}, localization=Localization{country='Germany', city='Leipzig'}, dateTime=2020-11-27T00:00}
Purchase{id_porzadkowe_zakupu=179, person=Person{imie='Rose', nazwisko='Garfitt', email='rgarfitt4y@histats.com', ip='124.148.182.118'}, car=Car{color='#143528', vin='JN8AE2KP3B9529747', company='Toyota', model='Tercel', model_year='1993', price=16793.13}, localization=Localization{country='Germany', city='Hamburg'}, dateTime=2020-11-12T00:00}
Purchase{id_porzadkowe_zakupu=180, person=Person{imie='Janet', nazwisko='Gourley', email='jgourley4z@sourceforge.net', ip='190.51.206.173'}, car=Car{color='#aac26c', vin='3C3CFFJH9ET358618', company='Toyota', model='Tundra', model_year='2005', price=55141.0}, localization=Localization{country='Czech Republic', city='Zaječí'}, dateTime=2020-12-06T00:00}
Purchase{id_porzadkowe_zakupu=181, person=Person{imie='Cody', nazwisko='De Lacey', email='cdelacey50@state.gov', ip='99.214.16.225'}, car=Car{color='#a62cc9', vin='JA4AP3AU6BZ179950', company='Toyota', model='4Runner', model_year='1994', price=79398.95}, localization=Localization{country='Czech Republic', city='Šluknov'}, dateTime=2020-01-20T00:00}
Purchase{id_porzadkowe_zakupu=222, person=Person{imie='Lemar', nazwisko='Cordes', email='lcordes65@nifty.com', ip='34.120.48.206'}, car=Car{color='#54888a', vin='3GTU2YEJ8CG745896', company='Toyota', model='Land Cruiser', model_year='1996', price=75418.19}, localization=Localization{country='Czech Republic', city='Sokolnice'}, dateTime=2020-08-30T00:00}
Purchase{id_porzadkowe_zakupu=233, person=Person{imie='Ruthanne', nazwisko='Manion', email='rmanion6g@ask.com', ip='30.95.19.163'}, car=Car{color='#9b7386', vin='5N1AA0NC4CN776767', company='Toyota', model='Tacoma Xtra', model_year='1995', price=17711.85}, localization=Localization{country='Poland', city='Chwaszczyno'}, dateTime=2020-07-16T00:00}
Purchase{id_porzadkowe_zakupu=243, person=Person{imie='Maryanna', nazwisko='Poyzer', email='mpoyzer6q@mashable.com', ip='153.199.165.20'}, car=Car{color='#b3177d', vin='3VWF17AT0FM706624', company='Toyota', model='Ipsum', model_year='2000', price=41036.16}, localization=Localization{country='Poland', city='Przemków'}, dateTime=2020-10-10T00:00}
Purchase{id_porzadkowe_zakupu=244, person=Person{imie='Danyelle', nazwisko='Galtone', email='dgaltone6r@jigsy.com', ip='201.182.106.236'}, car=Car{color='#9420b2', vin='KL4CJESB1EB970869', company='Toyota', model='Tacoma Xtra', model_year='1997', price=17651.88}, localization=Localization{country='Czech Republic', city='Petřvald'}, dateTime=2020-11-07T00:00}
Purchase{id_porzadkowe_zakupu=282, person=Person{imie='Charity', nazwisko='Rodway', email='crodway7t@google.ru', ip='164.149.4.199'}, car=Car{color='#ae11ba', vin='WDCYC3HF8BX263054', company='Toyota', model='Celica', model_year='2002', price=87073.77}, localization=Localization{country='Poland', city='Wołczyn'}, dateTime=2020-03-13T00:00}
Purchase{id_porzadkowe_zakupu=310, person=Person{imie='Eadie', nazwisko='Rainey', email='erainey8l@google.com', ip='93.125.211.222'}, car=Car{color='#20923a', vin='2HNYD28258H892952', company='Toyota', model='Land Cruiser', model_year='2003', price=78357.14}, localization=Localization{country='Czech Republic', city='Želetava'}, dateTime=2020-03-10T00:00}
Purchase{id_porzadkowe_zakupu=326, person=Person{imie='Christina', nazwisko='Aloway', email='caloway91@wufoo.com', ip='78.250.168.4'}, car=Car{color='#171bde', vin='1G6DD1E38E0221578', company='Toyota', model='Yaris', model_year='2008', price=95943.63}, localization=Localization{country='Czech Republic', city='Týnec'}, dateTime=2020-01-02T00:00}
Purchase{id_porzadkowe_zakupu=329, person=Person{imie='Ilyse', nazwisko='Sibthorpe', email='isibthorpe94@smh.com.au', ip='127.142.21.80'}, car=Car{color='#5dbb3b', vin='WBABS53432J176923', company='Toyota', model='FJ Cruiser', model_year='2010', price=42841.55}, localization=Localization{country='Poland', city='Stalowa Wola'}, dateTime=2020-08-11T00:00}
Purchase{id_porzadkowe_zakupu=345, person=Person{imie='Tiebout', nazwisko='Thomazet', email='tthomazet9k@wikispaces.com', ip='10.246.213.211'}, car=Car{color='#66d740', vin='5N1AA0NCXDN062563', company='Toyota', model='RAV4', model_year='2009', price=3950.6}, localization=Localization{country='Poland', city='Czerniewice'}, dateTime=2020-07-02T00:00}
Purchase{id_porzadkowe_zakupu=359, person=Person{imie='Moshe', nazwisko='Gerretsen', email='mgerretsen9y@twitter.com', ip='63.34.206.123'}, car=Car{color='#118388', vin='WBAPH7C5XAE402049', company='Toyota', model='Corolla', model_year='2005', price=93300.93}, localization=Localization{country='Poland', city='Polkowice'}, dateTime=2020-08-12T00:00}
Purchase{id_porzadkowe_zakupu=374, person=Person{imie='Floyd', nazwisko='Pigrome', email='fpigromead@guardian.co.uk', ip='3.137.99.181'}, car=Car{color='#f80129', vin='JH4DC54814S157423', company='Toyota', model='Sequoia', model_year='2010', price=13785.83}, localization=Localization{country='Poland', city='Stanisław Górny'}, dateTime=2020-10-31T00:00}
Purchase{id_porzadkowe_zakupu=390, person=Person{imie='Nonnah', nazwisko='Bage', email='nbageat@seesaa.net', ip='142.86.133.63'}, car=Car{color='#1c3c00', vin='WVWAP7AN2EE407945', company='Toyota', model='Camry', model_year='2011', price=73846.22}, localization=Localization{country='Czech Republic', city='Bechyně'}, dateTime=2020-09-14T00:00}
Purchase{id_porzadkowe_zakupu=409, person=Person{imie='Lin', nazwisko='Keesman', email='lkeesmanbc@discuz.net', ip='13.155.233.71'}, car=Car{color='#fc4291', vin='1G4HP54K83U176794', company='Toyota', model='Sienna', model_year='1999', price=68263.57}, localization=Localization{country='Germany', city='Düsseldorf'}, dateTime=2020-01-01T00:00}
Purchase{id_porzadkowe_zakupu=413, person=Person{imie='Emlynn', nazwisko='Bickers', email='ebickersbg@ibm.com', ip='253.187.239.255'}, car=Car{color='#fd14b2', vin='WBANV13538C193630', company='Toyota', model='Matrix', model_year='2008', price=66666.84}, localization=Localization{country='Czech Republic', city='Buštěhrad'}, dateTime=2020-07-16T00:00}
Purchase{id_porzadkowe_zakupu=415, person=Person{imie='Boris', nazwisko='Kenneway', email='bkennewaybi@house.gov', ip='107.8.184.2'}, car=Car{color='#c6ddb7', vin='2G4WC582961391520', company='Toyota', model='Echo', model_year='2004', price=57053.25}, localization=Localization{country='Poland', city='Rogóźno'}, dateTime=2020-03-13T00:00}
Purchase{id_porzadkowe_zakupu=417, person=Person{imie='Tania', nazwisko='Izhaky', email='tizhakybk@upenn.edu', ip='146.214.165.47'}, car=Car{color='#87f3c3', vin='3D7TT2CT0BG620180', company='Toyota', model='Highlander', model_year='2001', price=70370.83}, localization=Localization{country='Poland', city='Ożarowice'}, dateTime=2020-09-21T00:00}
Purchase{id_porzadkowe_zakupu=452, person=Person{imie='Josepha', nazwisko='Chartre', email='jchartrecj@google.de', ip='150.220.138.110'}, car=Car{color='#538b3d', vin='WAUCH74F89N000497', company='Toyota', model='MR2', model_year='2001', price=46421.38}, localization=Localization{country='Czech Republic', city='Moravský Beroun'}, dateTime=2020-08-29T00:00}
Purchase{id_porzadkowe_zakupu=488, person=Person{imie='Hollyanne', nazwisko='Smorfit', email='hsmorfitdj@hatena.ne.jp', ip='163.248.199.68'}, car=Car{color='#7c4bdb', vin='JM1CW2BL2E0937616', company='Toyota', model='Supra', model_year='1992', price=8892.98}, localization=Localization{country='Czech Republic', city='Štěchovice'}, dateTime=2020-06-11T00:00}
Purchase{id_porzadkowe_zakupu=509, person=Person{imie='Thoma', nazwisko='Benedidick', email='tbenedidicke4@a8.net', ip='177.69.83.120'}, car=Car{color='#2a8897', vin='1FMCU4K34CK742581', company='Toyota', model='4Runner', model_year='2012', price=59534.29}, localization=Localization{country='Poland', city='Śródmieście'}, dateTime=2020-02-12T00:00}
Purchase{id_porzadkowe_zakupu=546, person=Person{imie='Christen', nazwisko='Koeppe', email='ckoeppef5@slashdot.org', ip='58.25.235.162'}, car=Car{color='#48749a', vin='SCFEBBAK6CG505159', company='Toyota', model='RAV4', model_year='2002', price=43748.05}, localization=Localization{country='Czech Republic', city='Velké Losiny'}, dateTime=2020-11-13T00:00}
Purchase{id_porzadkowe_zakupu=557, person=Person{imie='Lolly', nazwisko='Waadenburg', email='lwaadenburgfg@nymag.com', ip='61.50.110.80'}, car=Car{color='#10eaf3', vin='3VW8S7AT0FM916890', company='Toyota', model='Tacoma', model_year='2000', price=9305.26}, localization=Localization{country='Czech Republic', city='Dobříš'}, dateTime=2020-11-26T00:00}
Purchase{id_porzadkowe_zakupu=566, person=Person{imie='Edmon', nazwisko='Brennon', email='ebrennonfp@auda.org.au', ip='181.101.27.121'}, car=Car{color='#fc8cc5', vin='5UXFA53502L717428', company='Toyota', model='Corolla', model_year='1999', price=69632.55}, localization=Localization{country='Germany', city='Wiesbaden'}, dateTime=2020-09-04T00:00}
Purchase{id_porzadkowe_zakupu=569, person=Person{imie='Corilla', nazwisko='Bigmore', email='cbigmorefs@free.fr', ip='162.5.54.22'}, car=Car{color='#bb2689', vin='WBA3B9G5XEN164490', company='Toyota', model='Solara', model_year='2004', price=76247.84}, localization=Localization{country='Czech Republic', city='Ždánice'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=641, person=Person{imie='Florenza', nazwisko='Mitton', email='fmittonhs@europa.eu', ip='206.22.154.208'}, car=Car{color='#f46ba9', vin='KMHTC6ADXCU518571', company='Toyota', model='Land Cruiser', model_year='2000', price=98423.5}, localization=Localization{country='Czech Republic', city='Štěnovice'}, dateTime=2020-01-21T00:00}
Purchase{id_porzadkowe_zakupu=688, person=Person{imie='Desmond', nazwisko='Silcock', email='dsilcockj3@amazon.de', ip='122.30.242.133'}, car=Car{color='#10a5e4', vin='2C3CCAJGXEH687937', company='Toyota', model='Land Cruiser', model_year='2001', price=3437.42}, localization=Localization{country='Poland', city='Zagórze'}, dateTime=2020-05-15T00:00}
