Purchase{id_porzadkowe_zakupu=62, person=Person{imie='Dorey', nazwisko='Ayce', email='dayce1p@oakley.com', ip='237.66.116.77'}, car=Car{color='#99b43e', vin='1N4AB7AP3DN745763', company='Volvo', model='XC90', model_year='2003', price=45536.6}, localization=Localization{country='Czech Republic', city='Jaroměř'}, dateTime=2020-02-01T00:00}
Purchase{id_porzadkowe_zakupu=81, person=Person{imie='Marietta', nazwisko='Matusovsky', email='mmatusovsky28@wp.com', ip='227.57.182.131'}, car=Car{color='#5e5ac3', vin='1G6AK5SX1E0004400', company='Volvo', model='V50', model_year='2006', price=95214.12}, localization=Localization{country='Poland', city='Lubień Kujawski'}, dateTime=2020-10-13T00:00}
Purchase{id_porzadkowe_zakupu=104, person=Person{imie='Hillel', nazwisko='Gulberg', email='hgulberg2v@uol.com.br', ip='245.28.146.164'}, car=Car{color='#be8d7c', vin='WAUSH98E77A370532', company='Volvo', model='C30', model_year='2012', price=48525.09}, localization=Localization{country='Poland', city='Sosnowiec'}, dateTime=2020-09-29T00:00}
Purchase{id_porzadkowe_zakupu=115, person=Person{imie='Esta', nazwisko='Knowlman', email='eknowlman36@webnode.com', ip='162.212.125.85'}, car=Car{color='#4b8723', vin='WDDHF2EB1DA707847', company='Volvo', model='S40', model_year='2010', price=1686.18}, localization=Localization{country='Czech Republic', city='Nová Paka'}, dateTime=2020-05-03T00:00}
Purchase{id_porzadkowe_zakupu=127, person=Person{imie='Rhody', nazwisko='Silson', email='rsilson3i@woothemes.com', ip='150.7.140.200'}, car=Car{color='#e2f736', vin='1G4GG5G32CF381077', company='Volvo', model='S80', model_year='2000', price=65303.7}, localization=Localization{country='Germany', city='Köln'}, dateTime=2020-08-10T00:00}
Purchase{id_porzadkowe_zakupu=131, person=Person{imie='Caritta', nazwisko='Penright', email='cpenright3m@intel.com', ip='157.148.217.153'}, car=Car{color='#a07f32', vin='WDDHH8JBXFB613580', company='Volvo', model='V70', model_year='2009', price=61642.73}, localization=Localization{country='Poland', city='Milanówek'}, dateTime=2020-09-23T00:00}
Purchase{id_porzadkowe_zakupu=174, person=Person{imie='Jay', nazwisko='Diloway', email='jdiloway4t@bluehost.com', ip='112.171.188.5'}, car=Car{color='#74e5c9', vin='2FMGK5BC0BB796935', company='Volvo', model='XC70', model_year='2007', price=39565.71}, localization=Localization{country='Poland', city='Szelków'}, dateTime=2020-11-21T00:00}
Purchase{id_porzadkowe_zakupu=240, person=Person{imie='Cletis', nazwisko='Swiers', email='cswiers6n@msu.edu', ip='177.142.211.247'}, car=Car{color='#b203c6', vin='5NPEB4AC1BH572085', company='Volvo', model='S80', model_year='2000', price=97566.15}, localization=Localization{country='Poland', city='Pruchnik'}, dateTime=2020-12-12T00:00}
Purchase{id_porzadkowe_zakupu=350, person=Person{imie='Granny', nazwisko='Vanns', email='gvanns9p@wikimedia.org', ip='206.67.4.114'}, car=Car{color='#eed324', vin='3VW4T7AT6EM080674', company='Volvo', model='XC90', model_year='2013', price=52450.55}, localization=Localization{country='Poland', city='Puńsk'}, dateTime=2020-06-01T00:00}
Purchase{id_porzadkowe_zakupu=447, person=Person{imie='Pippy', nazwisko='Lawry', email='plawryce@yahoo.com', ip='135.97.103.59'}, car=Car{color='#7a41d8', vin='3GYT4NEFXBG214899', company='Volvo', model='850', model_year='1996', price=18007.71}, localization=Localization{country='Czech Republic', city='Dobratice'}, dateTime=2020-01-09T00:00}
Purchase{id_porzadkowe_zakupu=455, person=Person{imie='Jannel', nazwisko='Sircombe', email='jsircombecm@fastcompany.com', ip='174.0.164.184'}, car=Car{color='#a69c05', vin='3VWPG3AG1AM831140', company='Volvo', model='XC70', model_year='2008', price=84822.49}, localization=Localization{country='Czech Republic', city='Zbýšov'}, dateTime=2020-07-30T00:00}
